#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     227    8268.9450     444.3636     435.0199    3681.6021     708.9905     542.6880    1476.4162     979.8648
     228    6449.8753     334.8825     271.0172    2923.9566     481.1706     418.9093    1159.1435     860.7955
     229    6921.5060     478.7615     388.1307    3134.8782     486.6651     459.1681    1176.2430     797.6595
     230    5768.8699     326.6710     301.8971    2445.0845     411.1974     348.2089    1340.4784     595.3327
     231    5666.1622     306.0734     259.5094    2376.4499     372.0034     356.3741    1285.6561     710.0958
     232    7164.7458     491.7336     441.0583    3211.7843     468.4441     331.4133    1451.0394     769.2727
     233    6959.4595     329.3579     310.1491    2891.1269     640.6661     575.2400    1339.5615     873.3579
     234    7181.5033     702.5516     551.1882    3002.2678     405.4987     363.6023    1369.7572     786.6375
     235    8191.3394     512.8549     570.9408    3153.9166     434.4907     353.6202    2059.9984    1105.5178
     236    6164.1028     524.9575     467.0052    2400.2635     428.9338     334.5001    1341.6583     666.7844
     237    6076.8986     321.1427     295.8128    2607.6286     402.6974     315.5631    1254.8326     879.2215
     238    6620.4771     446.2081     429.1959    2830.1942     578.4890     466.8904    1354.6883     514.8112
     239    7180.0620     413.6352     436.4225    3270.6665     650.3675     456.2693    1138.9770     813.7240
     240    6636.5459     396.4212     436.6008    2858.5963     591.1519     418.6300    1016.4319     918.7139
     241    6547.0928     623.8472     540.1186    2323.3981     569.7252     437.9563    1194.3778     857.6697
     242    6607.9936     532.9531     564.4223    2282.6917     574.5278     479.4264    1273.8506     900.1218
     243    6726.6671     392.9949     323.0524    2779.1849     602.2356     458.4623    1213.3691     957.3679
     244    7448.4231     792.3309     654.6916    3069.2892     564.1392     368.8641    1102.5767     896.5313
     245    6963.8707     530.3987     461.7392    2969.2183     453.6750     376.3824    1441.7577     730.6995
     246    4717.6994     314.0329     266.2534    2194.1856     255.6967     228.3277     998.6690     460.5341
     247    7749.9348     432.7537     542.5269    3467.4243     537.2644     441.0538    1430.9276     897.9841
     248    7064.1112     408.4726     482.3000    3157.8309     411.7691     464.4342    1515.2057     624.0987
     249    5761.5634     397.3799     329.6994    2377.0710     528.2180     415.8303     974.3785     738.9862
     250    5452.1808     312.8481     277.6541    2019.0633     473.8019     412.8434    1161.7908     794.1793
     251    6566.5956     333.8292     369.7178    2638.6447     509.0381     497.2262    1429.0272     789.1126
     252    5935.1952     350.1496     265.8424    2495.1174     524.3228     476.8728    1145.1558     677.7343
     253    7314.0960     389.5214     430.4451    3283.7183     566.3743     443.0793    1325.1539     875.8036
     254    8199.7592     635.6367     598.6487    3089.8264     881.0843     650.5585    1607.3502     736.6544
     255    6509.9716     452.9398     347.2359    2703.1545     468.5420     431.3008    1270.6079     836.1907
     256    5825.3084     481.8165     414.1939    2512.0893     354.6131     364.8050    1166.3886     531.4019
     257    4314.8711     337.5850     280.0785    1897.9253     277.1475     240.6170     815.1522     466.3657
     258    8104.8509     391.5893     446.6119    3749.3385     722.1376     649.6782    1378.1223     767.3730
     259    8017.4888     554.5352     437.3261    3254.8271     786.8284     700.2264    1354.8876     928.8580
     260    8692.8796     482.9208     513.5710    4183.1433     615.9532     467.9672    1473.9027     955.4215
     261    7283.1825     488.5013     417.0227    3007.1352     521.7896     366.9841    1763.2510     718.4986
     262    6188.5091     477.6559     488.7021    2603.0139     528.0640     432.0949    1138.7894     520.1889
     263    7459.1222     600.4631     545.3932    3402.1245     512.3582     518.1442    1192.2618     688.3772
     264    5643.8662     349.7438     256.4361    2192.6283     296.6762     300.9323    1447.6572     799.7923
     265    6373.9702     546.2961     377.9027    3022.9559     515.8189     401.2742    1035.4385     474.2837
     266    8126.0289     411.3641     446.2384    3599.5960     433.9955     362.4659    1869.2432    1003.1259
     267    8415.1741     836.8413     380.5243    3972.0940     459.6856     442.1814    1479.8647     843.9828
     268    6138.6410     489.6538     391.8541    2343.1154     388.7485     453.6967    1335.4151     736.1574
     269    6609.3091     388.0850     325.1920    3003.7241     473.8295     380.5368    1368.0459     669.8958
     270    5827.7842     331.8462     273.9558    2686.7402     585.4707     458.2472     929.0449     562.4792
     271    6179.6381     313.9530     278.2783    2450.0656     450.3729     451.2548    1576.8587     658.8548
     272    5738.3942     441.4714     461.9212    2218.1843     339.6580     286.9009    1325.6486     664.6097
     273    6229.0149     722.9888     489.6156    2293.1565     340.0305     332.2021    1337.2183     713.8030
     274    5937.4317     468.9592     338.9937    2348.1880     452.1245     346.0317    1470.1098     513.0247
     275    6566.4389     547.9386     382.0428    2611.5545     524.6003     380.6371    1246.8723     872.7933
     276    9229.1133     699.5075     608.1538    3360.6470     730.0242     531.4769    2360.6114     938.6925
     277    7728.7565     421.0290     377.5683    3142.5262     777.6888     551.0363    1578.2554     880.6525
     278    6429.9823     406.5913     417.7249    2392.4853     531.8599     434.6961    1404.7568     841.8680
     279    5849.0390     487.2426     375.2709    1944.2811     521.1351     466.0653    1226.1203     828.9238
     280    5814.3923     443.4723     348.2170    2557.3091     317.4118     306.8904    1197.4823     643.6094
     281    5964.0139     321.5199     291.9891    2383.0296     562.1596     466.6650    1150.6299     788.0207
     282    8242.4335     687.1046     455.0600    3458.6266     511.9966     508.9491    1672.9548     947.7417
     283    6037.8594     567.9387     553.0288    2320.7878     398.0466     380.3450    1167.3956     650.3170
     284    6809.4343     360.4041     363.2686    2949.6564     460.6542     467.6282    1398.7224     809.1005
     285    7678.9990     342.0015     358.0593    3498.3114     506.8479     511.4098    1636.0330     826.3361
     286    7484.1187     487.0497     454.9305    3406.7057     474.5062     686.9618    1217.3348     756.6299
     287    5559.2734     542.9152     287.1188    2381.8809     344.8104     355.6720    1098.5131     548.3630
     288    7396.4751     518.6250     494.7398    2972.3854     574.1064     506.9094    1671.2226     658.4864
     289    6732.3554     326.9897     320.8795    3136.8339     482.2654     449.8179    1079.7027     935.8664
     290    6865.0918     395.3131     350.0278    3356.1676     403.4073     453.9846    1022.2158     883.9756
     291    6688.3225     385.5078     364.2806    3085.9785     493.3992     410.9293    1110.4821     837.7449
     292    4795.5538     381.8524     269.9697    1939.5305     326.4264     320.8156    1007.2137     549.7456
     293    6574.9485     334.4874     286.8680    2298.2950     659.0945     581.1224    1524.6409     890.4403
     294    6922.5852     358.7495     383.0461    3375.8988     390.9090     409.4224    1175.5714     828.9881
     295    6334.9489     496.5345     516.9816    2539.9881     424.1112     477.3037    1257.5240     622.5057
     296    6582.3164     639.3812     436.0035    2841.1420     347.9649     334.0467    1327.9559     655.8220
     297    6088.6214     345.9550     403.5454    2116.7178     546.8657     519.7849    1320.3148     835.4379
     298    6735.2318     453.9337     372.6878    2948.6007     328.8869     300.6175    1386.7465     943.7588
     299    7520.4618     489.4074     425.4027    3343.0961     425.3629     404.8947    1617.5729     814.7251
     300    7379.0482     401.2102     368.7485    3732.4532     498.4454     345.7179     967.3887    1065.0842
