#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     160    7956.6504     511.6775     480.6201    3140.4167     378.3201     449.5913     489.8588     389.0504    1278.1716     838.9439
     161    7163.4509     548.0408     398.9247    2837.7992     388.8847     295.1746     308.0892     388.8771    1306.4226     691.2380
     162    7384.1035     689.3826     469.1222    2656.5789     532.3355     347.2585     322.2289     400.4018    1324.5341     642.2610
     163    7522.5005     660.5484     606.4358    2323.9311     367.9990     276.5713     290.7574     316.6949    1833.1908     846.3719
     164    6623.6697     411.7505     315.7514    2750.1915     328.5892     324.5836     310.9333     356.6542    1223.9397     601.2763
     165    6732.2565     422.0580     378.0845    2301.7202     485.7905     448.0536     363.4001     333.1176    1227.8798     772.1522
     166    7147.6827     374.5816     329.8349    2909.2461     325.9473     266.9419     352.2586     430.9664    1490.8070     667.0991
     167    6478.2832     369.7316     314.5563    2527.8046     532.2210     293.9356     291.0236     332.7729    1160.4489     655.7888
     168    7418.8636     572.5781     465.2702    2796.1946     465.1051     445.7918     653.4311     407.7052     887.7401     725.0474
     169    9334.8674     445.4789     457.3048    3147.0625     656.2947     524.0279     515.5844     412.6999    1963.8394    1212.5749
     170    9137.6592     796.4960     653.1758    3415.7387     627.6894     369.3450     312.4532     401.2703    1540.9772    1020.5135
     171    8511.9109     593.3092     361.2380    3730.1810     417.3947     343.4158     369.8955     514.0362    1542.5479     639.8927
     172    6173.6469     421.1096     364.2247    1903.1218     419.9059     265.7160     250.6443     263.1416    1482.4652     803.3177
     173    7433.8656     552.1032     365.7308    2954.3751     410.3619     309.2605     274.9480     491.4794    1456.3229     619.2839
     174    7413.5381     663.2561     510.0808    2882.4994     386.9446     240.6681     239.5621     379.1569    1455.6760     655.6940
     175    8883.3486     675.8630     527.9798    3109.6385     836.0814     558.2079     428.2157     532.8018    1480.2416     734.3190
     176    7774.7264     602.8471     649.5132    2712.8369     512.0569     376.3217     391.3591     383.7872    1411.6617     734.3425
     177    8993.4210     464.7821     401.0088    4105.8052     424.9210     426.6937     380.4432     520.5464    1320.4150     948.8056
     178    5997.2830     491.0212     318.4387    1962.3808     453.3823     343.9652     270.0039     369.4189    1106.2049     682.4670
     179    8150.8293     392.7026     367.6220    3085.3151     619.0006     353.8122     329.7161     372.2206    1694.2850     936.1550
     180    7120.7340     431.3886     358.8306    2768.4779     533.0937     384.8888     251.3995     275.2526    1385.7403     731.6622
     181    6269.1348     322.6654     262.6644    2401.8034     349.1285     457.7945     495.9992     343.3952     972.4045     663.2796
     182    8260.0460     658.6179     440.6845    2963.8898     660.5629     383.6985     364.8016     588.6852    1274.8652     924.2405
     183    6142.4460     644.0256     414.7802    2729.1397     348.0495     220.3519     190.0962     203.6179     822.6747     569.7103
     184    7402.5619     364.4497     289.0262    2611.6636     641.5905     529.8026     367.3768     288.7397    1687.3684     622.5445
     185    6621.4795     565.8746     444.7206    2134.6478     424.4814     442.1459     493.7601     446.7260    1020.5987     648.5242
     186    7234.5846     377.7300     321.4364    3002.7818     404.8378     310.9683     327.7289     333.0968    1397.4230     758.5816
     187    9387.8261     704.7718     511.2899    3401.2177     682.6333     543.8148     555.6464     384.7374    1732.9818     870.7330
     188    7137.3968     527.7940     660.1374    2734.9327     414.8676     299.4242     347.9603     316.3388    1092.9889     742.9527
     189    9681.6803     996.1587     649.0213    3643.7897     430.5884     353.5240     307.0767     378.3417    1888.9734    1034.2064
     190    7618.5270     509.5351     451.5109    2815.7756     512.3120     362.0927     319.5446     480.1504    1476.7658     690.8400
     191    7258.8815     443.1479     379.6412    2248.4208     600.0465     489.8422     460.6599     361.3047    1456.8756     818.9426
     192    7854.7369     574.0135     499.2007    2895.3373     412.6976     289.1622     382.9265     596.8357    1513.9230     690.6404
     193    7624.8999     546.1052     351.0011    3160.0203     318.1432     306.8041     316.6873     333.4893    1577.8536     714.7958
     194    7271.1618     784.1852     455.2412    2672.1834     436.0437     492.9100     458.6515     363.2846     913.9756     694.6866
     195    6730.6391     448.1798     380.6703    2619.4023     527.4050     479.2128     384.7906     302.5753     854.1579     734.2452
     196    7364.9792     501.8456     594.9106    2844.6596     542.4740     261.3724     245.4114     294.4890    1309.1281     770.6887
     197    6723.6909     386.8376     314.4974    2707.7095     445.4026     257.6984     250.1105     274.5514    1399.7021     687.1814
     198    7135.5487     382.6404     349.5927    2855.9214     341.8935     274.3262     375.6006     388.3927    1488.5968     678.5843
     199    6392.7714     439.1953     481.0556    2125.5719     348.2045     250.1197     232.0768     263.6096    1291.4479     961.4901
     200    6836.3294     524.6398     538.0624    2184.6516     400.6295     417.8528     350.5331     402.1508    1181.1269     836.6824
     201    7180.6037     610.2471     499.8330    2855.3869     380.9321     270.0042     272.8499     346.3951    1087.7374     857.2180
     202    6922.7461     337.2379     377.7060    3070.5293     393.5833     306.7504     418.7716     383.7313    1133.4025     501.0338
     203    5370.8571     501.6604     384.2734    1808.1304     370.2574     320.3419     342.7804     348.8001     831.7463     462.8667
     204    8261.3671     643.1773     501.3458    3116.7757     502.4222     406.2474     298.4713     295.9852    1797.8698     699.0723
     205    6431.3411     374.3553     333.0340    2428.8745     398.7927     269.4170     264.7246     410.7565    1363.1099     588.2767
     206    7216.8655     524.3512     394.0273    2887.3602     548.1761     370.9838     249.4925     287.4569    1365.8481     589.1693
     207    6412.4178     625.2430     569.1118    2039.5859     279.4716     270.7717     345.7688     311.0375    1272.8240     698.6037
     208    5870.4010     363.4638     297.2054    2178.6508     318.3562     298.0683     279.3745     294.7174    1211.2874     629.2771
     209    6872.9082     428.3635     379.9948    2701.4917     398.4824     436.9235     319.4545     294.7468    1206.7324     706.7186
     210    6970.7172     400.4225     337.2158    2438.3240     532.9735     444.7857     336.7238     433.9136    1215.5699     830.7882
     211    6556.2115     467.7045     466.0331    2376.9299     380.6565     290.2995     262.7172     390.7726    1207.9498     713.1484
     212    6526.7299     348.4429     395.2966    2167.6878     502.6525     337.4303     260.1251     296.6659    1464.8777     753.5511
     213    7231.4863     969.9565     461.5528    2439.2397     464.3543     266.1855     210.7441     245.3345    1417.0159     757.1030
     214    7201.1819     753.8842     444.0600    2652.9590     403.4059     306.2962     249.7747     291.6918    1316.3927     782.7173
     215    8168.0707     453.0004     368.0153    2925.1798     722.3831     587.5754     335.0345     364.5804    1511.6781     900.6237
     216    7946.9632     447.0907     425.0090    3353.3389     447.3437     417.9223     304.8044     338.9629    1535.5923     676.8988
     217    6462.1863     371.7771     314.2458    2259.8109     451.1222     337.6765     417.4215     450.6732    1240.9575     618.5014
     218    6588.1745     307.8328     287.3312    2325.7502     532.6449     349.5274     271.1847     251.1687    1488.9776     773.7570
     219    8224.8253     557.1147     516.4899    3052.2204     543.3840     374.4344     275.8895     295.5419    1793.8923     815.8580
     220    7903.9158     462.7724     421.1935    3252.4111     287.6595     246.9638     290.8766     314.7603    1746.7359     880.5427
     221    7248.8169     458.8594     549.8906    2572.7694     397.2740     235.9152     232.2483     290.8843    1625.5575     885.4183
     222    6069.3903     392.2499     308.0500    2318.4457     333.1861     226.9011     223.0954     265.7883    1386.3025     615.3713
     223    7111.2936     370.0772     384.2238    2778.3246     491.9242     323.0205     229.3381     227.0256    1356.7678     950.5919
     224    7490.8043     367.8449     356.9675    2658.3372     718.2706     459.8070     303.6535     327.6377    1464.4415     833.8443
     225    8020.6003     557.2416     430.3596    2386.9970     548.9385     437.7141     375.8709     554.6609    1995.0528     733.7649
     226    6805.2590     367.8295     315.2870    2673.4997     524.4554     397.8304     262.5927     396.8442    1303.2746     563.6455
     227    7684.0587     448.5411     385.9869    3197.1004     346.5865     269.6506     322.5531     537.5822    1571.2168     604.8413
     228    6900.3155     335.9104     323.1362    2413.9172     488.8172     333.5644     402.6900     431.6287    1458.0813     712.5701
     229    8921.6461     484.7941     400.2582    3348.4036     578.8085     392.4830     426.4356     494.5664    1994.3831     801.5136
     230    8584.1004     749.4154     616.0322    3499.2864     417.3415     373.8386     300.5632     311.3171    1429.4926     886.8134
     231    7166.7442     477.6507     336.1717    2480.6430     582.0764     406.3347     334.0962     368.0818    1630.6618     551.0278
     232    6775.5761     393.9035     406.9049    2578.1163     430.2311     276.1678     277.0594     413.2527    1425.7255     574.2150
     233    6783.2439     346.4639     407.2504    2644.9882     364.7728     227.2784     252.9244     255.2830    1465.4158     818.8669
     234    8053.7667     494.9881     313.5227    3420.2033     598.8373     360.2518     252.9739     257.9411    1205.6254    1149.4230
     235    6201.8214     402.4377     310.2005    2753.4373     326.6555     214.0534     176.3261     197.0224    1104.0199     717.6687
     236    7677.6928     528.4295     512.0825    3051.4854     294.4370     219.5903     259.3393     438.5138    1591.2872     782.5278
     237    5733.1108     334.0990     314.8214    2219.3992     408.6694     309.0696     250.7080     270.5919    1132.6828     493.0695
     238    6022.0809     415.5802     342.8035    2225.3656     403.5345     345.2586     282.8313     291.1952    1045.7401     669.7718
     239    9617.8456     573.4378     521.8860    4190.9002     576.8524     752.0017     435.9202     356.3302    1483.1766     727.3406
     240    7822.3180     358.0750     434.0469    2854.1091     510.7149     434.9270     318.0505     243.1994    2022.6355     646.5596
     241    6133.0944     437.8217     389.3341    2361.7100     278.6349     264.1163     235.7533     236.8221    1255.6419     673.2600
     242    8395.5651     485.5373     472.2194    2834.2544     776.1945     490.8432     524.0695     485.0285    1392.5324     934.8859
     243    5814.6587     375.0890     341.8837    2283.4588     421.3130     213.3495     195.2753     225.2402    1083.8355     675.2137
     244    9001.6562     531.9144     433.2523    3325.4216     790.6244     473.5123     388.8779     409.4331    1614.2067    1034.4135
     245    8654.4267     558.1965     493.0592    3404.3342     673.8542     379.0803     304.6206     280.7478    1600.1900     960.3439
