#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      98   11762.3501     416.4305     342.1701     359.8931     315.4285     301.5672     257.0144     297.6345     273.5554     348.9704     311.1288     278.9883     282.2692     322.8401     460.4495    4086.4520     589.6199    1581.2545     936.6836
      99    9171.7094     676.5765     552.7654     400.2458     370.2391     231.0591     223.0622     311.9927     323.1611     266.9661     243.0784     212.4275     212.1432     212.5205     275.9672    2332.5371     466.3655    1159.3545     701.2475
     100    9867.7349     447.7169     261.1963     290.8038     424.1863     291.0069     223.6225     214.9120     282.9798     339.7590     323.5964     349.6547     310.0182     361.6858     460.7921    2593.2275     705.3640    1455.6684     531.5443
     101   10415.5884     442.7781     237.0114     294.7079     403.3420     379.0279     385.3231     256.0072     251.5215     252.2912     204.0629     201.2661     218.3885     271.0821     358.7169    3405.4405     567.6274    1382.0861     904.9074
     102   10864.8833     434.3382     471.1997     516.9855     344.4384     416.9930     344.1575     398.2224     368.4961     327.0042     271.2314     210.8029     215.2923     253.9279     381.5277    3080.3291     565.1377    1628.7843     636.0149
     103    9333.2039     477.2122     413.7988     314.8937     354.0629     239.5958     171.5891     171.1508     167.8262     164.8711     165.8674     173.0257     208.1938     342.5539     343.1831    3235.6740     545.0206    1010.7405     833.9443
     104    9352.8318     300.6139     211.5298     185.4437     194.1646     228.5898     238.2042     283.6664     334.6691     298.6061     233.4563     200.6528     222.7062     300.1240     392.4559    3116.3200     565.4128    1215.0571     831.1594
     105   11183.9371     445.8154     288.6915     347.8310     361.6209     329.6068     336.3606     592.2472     661.0501     389.4919     290.0451     519.8511     664.6305     373.1171     379.2125    2709.2523     507.7126    1406.9736     580.4268
     106    9968.4096     303.7694     199.5869     170.1050     157.5187     168.7401     155.4126     177.8404     260.8498     258.5687     254.4223     309.3161     442.4949     368.0420     318.5244    3546.8074     512.8203    1562.1523     801.4383
     107   12772.0283     482.6327     352.4883     300.4709     230.4328     226.9375     295.3754     365.4598     425.4323     338.1426     291.3216     273.8125     377.8766     517.0463     609.7276    4676.0588     776.5305    1156.4052    1075.8768
     108   13409.4522     542.0310     398.7290     485.2504     375.1323     358.6141     463.9462     359.6589     310.9609     331.2572     326.3239     306.8346     372.7948     688.3955     817.8261    3790.8262     611.6202    1955.1170     914.1339
     109   11199.6025     592.0259     565.5367     522.6227     431.2311     354.3229     290.7258     269.5730     291.5072     323.9960     294.0273     300.4366     385.4987     516.4673     484.0621    3004.9549     544.4579    1447.7649     580.3914
     110   11445.4187     325.5121     272.0175     249.0959     283.9196     450.6662     421.1404     369.7689     391.7645     254.4182     201.7235     170.2552     160.8336     170.3200     212.4925    3652.4000     764.2745    2069.8337    1024.9825
     111    8823.1662     367.1225     258.8410     250.9173     232.2011     226.5774     238.6064     285.4700     456.4850     385.3709     283.5393     255.7252     292.0623     313.6226     347.3342    2189.5469     466.4004    1349.0968     624.2469
     112   10271.0145     385.3684     296.9825     254.9124     271.6078     297.3403     263.1368     322.8720     328.9862     320.8096     407.6242     364.5834     343.0212     490.9447     407.2747    2828.5291     571.1873    1282.0619     833.7722
     113   10822.7971    1317.7155     635.1581     334.2039     352.1157     284.8118     259.1498     231.2540     222.0288     246.9479     234.0988     197.8343     196.1111     253.9610     384.1461    2885.2072     558.1816    1463.5539     766.3177
     114   10769.1797     334.4494     315.3402     404.8214     403.8173     272.2306     344.3332     349.9508     405.8831     430.8316     447.1798     388.3749     335.1973     386.4922     508.5478    2856.7868     596.4052    1365.9103     622.6278
     115    8248.9500     310.7187     245.6994     373.5463     367.3328     446.2663     437.5366     226.1500     166.5819     160.4193     159.0541     161.0973     168.8727     203.3612     352.8730    2200.0306     503.6452    1131.6999     634.0647
     116   11761.3356     455.5656     537.3372     654.0577     753.2917     532.1063     295.9622     263.6617     242.4007     360.0908     484.3358     483.9229     419.0983     296.6365     356.1680    2355.0343     666.4145    1856.8049     748.4464
     117   12162.5344     557.5597     295.2348     254.9461     231.7671     261.3709     390.4952     322.6283     295.6339     448.9912     489.3707     468.7394     444.2869     303.3468     336.6935    3730.0277     624.9900    1568.4875    1137.9647
     118    9339.8423     520.2923     476.1625     420.1561     297.6724     220.2755     200.1463     222.3987     224.8845     230.5011     216.8709     265.3388     288.9226     273.8332     305.3274    2978.2206     444.2951    1200.5878     553.9566
