#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      84   12704.3834    1008.3357     404.9850     281.0156     335.6544     274.7594     313.2489     407.9036     419.4828     451.8479     379.7766     393.8933     399.6898     519.5245     408.3588    1697.1829     742.0068    3587.4424     679.2751
      85   10431.9574     332.7607     288.3751     228.7962     217.0170     248.6708     331.3850     399.2630     414.1150     529.3645     474.8031     324.7448     215.1421     213.7740     274.5143    1026.1246     374.0577    3461.4909    1077.5588
      86    9124.1208     410.7649     226.0156     169.8955     157.1834     169.1873     206.0799     360.8841     410.2855     276.2429     201.1681     244.3628     309.5843     409.6673     451.7810    1254.0640     450.7956    2761.5836     654.5751
      87    9450.0812     312.6587     232.8126     259.3170     411.8445     427.4785     447.0979     454.1939     357.8328     221.7571     203.5074     246.9531     284.8280     298.2469     372.0192    1052.1035     427.7704    2748.2475     691.4124
      88   12737.4415     906.2696     879.0047     536.4460     472.5212     390.1615     392.3856     436.6470     445.1108     249.3536     280.6034     310.7142     334.3519     369.1571     328.3864    1616.9277     492.8733    3220.4100    1076.1174
      89   11887.4963     795.8608     558.5191     590.8290     487.5570     441.4574     352.6135     310.1499     343.7267     290.9286     300.4185     349.4672     412.6170     378.0335     518.2799    1258.0410     614.1182    3054.8502     830.0285
      90    9614.0305     478.1345     356.9436     411.9294     304.3600     267.2338     264.7948     374.3283     349.3425     309.3213     255.8949     294.0631     271.1490     249.3543     289.3855    1540.5651     468.8695    2633.4295     494.9315
      91   11057.9550     576.0658     419.6006     381.8776     419.5971     361.6385     411.5480     321.0692     328.0635     382.5936     296.8709     331.8475     407.5225     328.5970     323.0233     913.6459     596.5419    3284.7153     973.1368
      92   10779.7863     583.1375     328.5768     211.5302     193.9397     203.3827     203.2133     191.1812     209.9537     296.2418     500.4554     349.2711     324.3088     273.6549     275.2147    1505.6280     603.6855    3749.7063     776.7048
      93   10658.9743     391.2616     434.0102     327.2135     234.2080     259.9910     393.5240     467.4294     581.8750     341.3515     428.9415     346.2607     249.5185     258.9929     268.7271    1120.5182     653.4265    2985.5829     916.1417
      94   11733.5240     308.0897     195.1951     204.4603     239.4096     412.5512     344.5279     221.0453     261.2644     444.1947     673.8225     640.9222     360.6358     360.1641     490.4670    1247.3273     433.2735    3889.7602    1006.4132
      95   10876.4042     453.4155     383.6587     267.8934     263.9148     336.9235     332.2576     331.1250     433.3088     390.4070     329.3256     315.1129     376.2824     525.0790     428.8163    1469.1576     499.7589    2813.1140     926.8532
      96    6815.4027     315.1717     200.7866     162.8035     158.2920     154.6015     162.7131     183.6904     193.7583     193.5750     180.1475     183.9511     188.1459     180.7968     252.6696    1091.6540     449.7537    1882.5882     680.3038
      97   10482.7821     386.3249     267.6997     247.7318     222.3630     214.4966     232.6593     253.9922     426.9761     482.9785     440.5545     406.0131     409.8075     384.3700     330.2884    1269.1037     469.5225    3259.7823     778.1180
      98   12103.7383     463.4274     351.9931     328.4506     442.9759     440.2325     344.6400     319.9962     277.7926     283.3822     240.7316     296.8750     298.1904     255.9541     253.8663    1415.7165     627.4063    4528.4845     933.6231
      99    9935.4559     819.6966     456.0673     397.3246     370.3704     376.9267     450.0009     340.7249     260.6937     210.8669     227.5603     235.0833     219.3925     224.1345     371.6293    1005.3391     338.6524    2688.7553     942.2373
     100   10835.8795     410.1557     300.7103     255.3661     215.1433     224.9074     285.2495     289.1842     230.2454     211.3357     222.8033     396.9005     383.0942     427.7403     701.7322    1945.2994     571.8896    3097.6514     666.4709
     101   10045.4968     493.2010     397.8440     273.6654     274.5871     312.1176     463.7176     639.8926     428.0673     296.1411     210.5983     296.1781     347.3406     317.3653     348.0165    1283.2737     458.2147    2629.8687     575.4071
     102   10519.2811     414.1725     294.1319     251.7740     257.9355     338.7411     324.9396     416.5980     357.1977     312.6759     331.4407     394.6613     441.9710     308.4952     315.8107    1294.9236     513.5171    3090.4427     859.8526
     103   14049.9114     761.7886     582.2603     591.3190     507.2592     552.8770     416.8207     403.3335     310.0099     361.3891     547.4557     648.4735     412.9913     342.8815     280.3899    1489.3099     674.6487    4288.6160     878.0876
     104    9578.3701     708.7684     464.4119     338.7890     356.3575     465.8405     308.4761     205.8642     173.5585     194.8069     195.2007     181.6042     162.5459     173.6757     186.6206    1245.9647     523.0031    3109.5350     583.3471
     105   11183.2888     537.0229     520.3469     383.6094     315.3009     238.1564     285.2102     281.0717     345.1083     239.0643     279.4603     384.1995     278.7978     275.4813     285.0686    1622.2826     519.2958    3509.7095     884.1024
