#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     137    7786.5935     418.5081     315.2087     284.8833     284.1445     276.6754    1352.5275     654.5320    3213.0115     987.1025
     138    7495.7200     586.9087     336.1348     285.0093     306.0413     270.8196    1770.9483     518.4556    2608.2266     813.1756
     139    7547.6384     327.8995     270.8770     261.3268     240.9992     319.5354    1879.3550     689.6490    2642.3954     915.6011
     140    8485.0159     730.9090     449.2216     331.8781     314.2302     351.7010    1645.1407     611.4601    2891.9181    1158.5572
     141    8673.5485     710.9038     361.8855     266.9293     308.7951     382.7559    1503.0468     407.9094    3741.1963     990.1264
     142    8963.9157     871.2685     466.5563     401.5628     380.1878     359.3773    1319.2992     379.2239    3978.9426     807.4973
     143    7297.2415     433.2477     342.7485     339.3349     398.0070     414.3072    1476.1734     378.6681    2845.5396     669.2150
     144    9121.2351     636.2205     515.3286     356.9330     403.2316     463.9755    1942.1879     669.3551    2961.0136    1172.9893
     145    6084.1739     338.8845     227.3439     222.6085     275.6236     294.0630    1013.4849     409.8791    2627.0827     675.2037
     146    7129.9550     478.5065     422.4839     407.2868     324.1079     306.7205    1036.0939     353.2724    2825.4160     976.0671
     147    7804.3517     332.2374     221.6851     204.0845     194.0707     261.5861    1804.2016     517.4846    3447.2050     821.7967
     148    7265.0848     557.4995     319.6348     255.3786     287.2918     506.6897    1173.1487     436.0028    2996.3613     733.0776
     149    6595.9685     380.9278     270.1488     216.7819     246.8613     250.1323    1355.3159     441.7540    2724.8979     709.1485
     150    9362.8784     449.0124     528.8638     766.0772     518.6802     314.0783    1365.7104     592.7489    3889.0385     938.6687
     151    6858.6869     413.1708     312.6278     404.9605     483.9812     488.4642    1036.2148     483.4975    2616.5943     619.1757
     152    7705.1569     524.4941     445.0059     477.0340     289.0550     285.8196    1052.5706     367.5713    3283.4085     980.1980
     153    5663.7971     338.1518     282.2049     279.6217     284.0974     292.4482     930.5672     344.4358    2250.4917     661.7785
     154    6737.5163     435.7044     347.7688     348.5041     250.7365     261.4521    1399.2590     436.8844    2357.1212     900.0860
     155    6990.1203     727.1248     389.0726     380.9430     315.6433     337.8676     965.5656     361.7033    2882.7487     629.4513
     156    6627.1434     360.0764     260.0306     251.7109     257.9095     252.9793     988.2184     516.1559    2948.4223     791.6402
     157    6686.0469     392.8082     235.8616     220.4720     289.6364     374.4967    1283.8187     526.2281    2556.7386     805.9866
     158    7213.4347     324.8422     224.1833     234.8464     385.3958     643.7058    1174.1411     537.0988    2995.2637     693.9575
     159    6169.6422     312.3346     245.8323     255.3515     381.5138     437.2147     981.0020     542.3693    2322.0610     691.9630
     160    7973.7890     684.2496     354.8023     270.3299     256.4685     314.1820    1241.4971     482.4957    3460.2673     909.4966
     161    9449.6285     632.8018     381.7710     360.4418     321.2141     338.5964    2139.8636     516.6913    3897.2604     860.9881
     162    9627.6600     615.0047     307.5936     400.0719     355.6386     526.4951    2035.8398     650.7042    3972.9207     763.3916
     163    8517.3152     371.9222     421.4034     467.6217     585.3941     389.5975    1217.1346     378.0256    3809.0292     877.1870
     164    8050.5097     476.9365     326.2525     349.5648     433.5689     493.8539    1586.7209     610.9100    2874.2082     898.4939
     165    7186.4277     467.1188     258.1662     207.2408     224.2912     257.4254    1326.5495     456.7031    3255.1776     733.7550
     166    8401.6389     885.7063     396.6953     315.4966     345.8753     456.2260    1597.6522     456.4401    3223.0641     724.4828
     167    7313.8048     485.1133     315.5452     348.7211     313.9792     317.2360    1035.9270     445.7898    3354.4645     697.0286
     168    8132.4714     654.8157     367.1304     318.8294     310.4529     277.2865    1362.3301     646.8396    3197.2009     997.5858
     169    6538.7482     329.8033     219.8244     200.5413     216.3288     308.9228    1096.7185     560.5279    2695.4244     910.6568
     170    6713.7057     601.2320     500.4318     499.1120     321.2810     284.1447     975.6188     524.4922    2422.6886     584.7045
     171    8663.6972     491.4706     425.8857     377.4985     488.9190     731.1165    1396.5064     588.3412    3419.8164     744.1428
     172    9135.6675     760.9042     856.0644     438.6302     444.4952     459.2920    1635.8479     558.1371    3208.8450     773.4515
