#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
     131    6769.0186     830.8700     519.9910     317.8878     290.7277     286.3046    2297.9976     433.3340    1026.1125     765.7934
     132    8387.6890     899.9609     433.7720     314.7631     327.0209     407.1007    2566.8841     742.0962    1650.8174    1045.2738
     133    8776.0461     596.8157     864.9554     610.8726     370.1738     354.8722    2749.0602     635.4358    1572.4477    1021.4126
     134    7873.9475     521.0755     391.3794     311.8563     243.0058     247.5444    3092.2935     605.3071    1357.3546    1104.1310
     135    7574.1424     470.9069     261.3159     303.6274     366.2883     409.3996    3122.0521     599.4243    1161.9653     879.1628
     136    5611.4445     352.0068     243.0045     242.1467     288.0289     280.1889    2269.3744     386.4948     920.8606     629.3389
     137    6804.2066     539.6870     331.9735     232.3311     219.7880     258.6057    2370.9526     521.1355    1332.6856     997.0476
     138    8476.5627     958.9785     399.4223     230.3297     244.0964     319.7273    3523.2349     521.9024    1382.5924     896.2787
     139    7355.8469     818.0729     484.2537     322.6739     347.7719     328.6779    3146.2343     420.8326     969.1329     518.1968
     140    7003.5686     637.7787     265.4323     225.1315     249.2126     315.7483    2815.7093     520.1204    1239.2300     735.2056
     141    6418.5864     315.7171     271.7408     282.7309     403.7929     504.8108    2340.9321     381.2469    1370.4662     547.1486
     142    6305.6189     495.5459     455.1332     435.1559     332.2704     337.9930    2209.5254     459.0240    1092.0990     488.8722
     143    7033.7921     304.7999     224.3305     243.6249     286.1655     363.8598    2819.8087     530.7567    1652.3118     608.1343
     144    6830.6994     491.6241     436.2066     571.3716     352.0341     273.7050    2132.3577     597.3974    1201.8523     774.1507
     145    9146.9687     737.0164     911.5013     588.2900     419.5068     550.5508    2646.2691     625.4606    1690.8428     977.5309
     146    5359.6622     472.1612     230.0676     195.0659     212.7003     262.0660    1764.0191     324.4040    1266.6937     632.4844
     147    7836.9693     529.7799     534.5174     323.3119     271.6525     350.3409    3465.6074     405.3583    1071.3642     885.0368
     148    8487.5046     474.9354     435.5114     401.1782     510.8802     456.8627    2850.1769     518.3384    2095.1382     744.4831
     149    6379.9273     713.5111     464.3541     288.3775     289.2914     433.2916    1974.3958     354.1699    1145.9131     716.6227
     150    8236.3790     459.0104     322.0728     321.4165     399.3627     616.9292    3080.1611     700.2193    1435.7985     901.4085
     151    6428.7632     490.2866     291.4939     262.4023     284.2437     441.1535    2144.8795     468.6216    1346.3521     699.3300
     152    9080.3348     816.7414     416.3765     541.9242     478.2495     385.7294    3549.9003     375.5082    1481.9547    1033.9505
     153    7833.7471     846.0966     485.4926     436.5686     425.1452     675.1239    2360.1296     341.3635    1374.1600     889.6669
     154    7525.5253     958.6430     522.3601     408.4975     347.8091     346.7887    2471.7621     627.9991    1049.0264     792.6393
     155    7985.9900     438.9326     328.0318     549.1327     780.4729     592.3988    2538.0487     465.5124    1436.2101     857.2501
     156    6245.8320     412.0125     264.0607     229.6405     274.3810     254.3987    2641.8766     412.3698    1095.9739     661.1183
     157    7758.3781     800.7811     476.3890     420.2510     328.0273     278.6595    2846.0007     596.1159    1335.3430     676.8106
     158    7539.3268     625.7175     361.5898     317.3605     379.9407     570.8217    2339.3648     641.4866    1378.2213     924.8239
     159    9443.6207     468.5451     561.6650     338.3268     421.4314     425.9879    3866.0195     680.2231    1505.2038    1176.2183
     160    7479.8160     735.6542     479.2391     360.5442     343.0016     306.3247    2616.2135     532.6736    1272.9838     833.1812
     161    7359.0456     754.5502     405.5624     286.9221     245.1525     286.3840    3014.9582     484.0874    1036.5945     844.8343
     162    8864.0940     475.1720     431.4665     418.7087     783.2798     556.7035    3241.9176     565.6857    1581.2794     809.8807
     163    6684.9730     380.0014     375.7503     427.0978     343.7357     312.8237    2536.0434     449.9429    1361.4148     498.1630
     164    6579.6323     585.4860     425.5455     474.1278     364.0265     311.9591    2302.8728     307.4966    1142.2042     665.9138
     165    6593.9418     568.5537     345.5768     221.5693     272.2891     270.0885    2394.3944     489.5989    1352.8356     679.0354
     166    8575.3390     456.8284     454.6611     715.9520     512.8603     457.0609    3133.2182     375.5882    1693.7903     775.3796
     167    7419.3019     801.9130     475.8986     264.9699     323.4780     339.5103    2906.8736     439.5085    1076.5227     790.6273
     168    6807.2434     444.6074     302.4205     351.1347     367.0616     306.9323    2591.3449     431.6894    1275.6896     736.3630
     169    7432.4424     366.7464     266.9857     362.4263     276.6497     298.5136    3037.1390     566.5705    1320.7950     936.6162
     170    7024.5732     322.1557     288.9616     490.8197     398.0734     337.5891    2752.0170     474.6699    1356.9712     603.3156
     171    7916.0180     435.8972     484.9339     424.6077     343.3112     409.2151    2956.3242     396.2299    1452.0512    1013.4475
     172    7606.7906     708.3833     610.8445     426.8485     350.5725     384.6455    2774.6717     475.5434    1191.9104     683.3708
     173    8231.8734     492.8910     469.7189     328.5145     266.4437     266.0294    2975.6386     709.4364    2114.3698     608.8312
     174    7904.1312     593.5948     702.2477     356.9311     334.2689     575.6919    2441.4183     476.9577    1444.0954     978.9254
     175    7440.9933     543.2073     517.5500     494.7826     503.9148     313.8324    2403.1596     458.7924    1330.0605     875.6936
     176    6315.6098     356.2429     261.6041     343.3887     293.1234     390.6316    2351.1579     472.5537    1218.6506     628.2569
     177    6133.5962     486.1621     262.7306     223.5450     255.3724     295.8122    2382.8372     359.8273    1240.5917     626.7177
     178    6817.0779     694.6434     439.0508     339.1503     255.4297     299.3414    2455.6666     488.1672    1184.3853     661.2432
     179    7319.9133     532.0249     501.6542     639.8433     390.8698     360.9342    2403.4307     575.6012    1296.5326     619.0223
     180    7825.2098     399.9335     389.9508     516.9116     438.4616     486.8090    2929.1756     542.7807    1445.3918     675.7952
     181    8950.3913     538.0817     545.8221     513.5974     439.5169     352.3420    3751.9903     525.2783    1276.2365    1007.5260
     182    6760.3665     661.2791     368.4797     258.4419     334.1741     426.6302    2570.5499     394.1341    1186.2350     560.4425
     183    6307.1725     607.4182     372.9389     264.0071     240.6641     297.4190    2270.4502     470.3760    1175.7759     608.1230
     184    8022.7980     426.2065     440.4612     285.0356     423.6507     378.3164    2942.0901     676.4056    1525.8059     924.8262
     185    6949.6311     319.6698     207.0846     174.1481     279.4826     426.2516    2995.0110     572.4155    1163.6464     811.9216
     186    7425.5743     540.5086     300.2021     302.5814     322.6705     396.6963    2653.6394     498.7578    1848.3502     562.1681
     187    8571.1895     538.4830     322.0126     227.4332     358.6392     567.8095    3899.6375     530.9377    1285.9793     840.2573
     188    6257.9162     424.8171     312.0395     275.7295     296.8148     335.3944    2072.2089     465.4134    1446.4017     629.0969
     189    6225.6196     840.4309     336.0341     275.9340     256.4335     341.3581    2297.8074     413.3864     945.5430     518.6923
     190    6443.7275     456.4069     310.8618     277.0740     333.4886     289.5205    2558.7299     436.9942    1066.1506     714.5010
     191    7646.2523     757.4712     615.6351     490.0307     307.2465     312.8880    2589.1061     558.5815    1261.9501     753.3432
     192    8874.5018     488.0702     289.6623     311.6134     388.3396     413.0248    3949.1626     528.1615    1335.0040    1171.4632
     193    6593.0580     663.1429     300.5077     259.0545     269.7658     325.2129    2468.8758     448.7821    1268.0581     589.6583
     194    8282.4546     331.8988     326.2888     422.5038     304.8860     279.6735    3698.3046     625.1769    1454.6615     839.0606
     195    7388.6266     457.0199     248.5849     200.3192     273.7456     442.1115    3362.9997     547.5588    1061.2798     795.0072
     196    7773.0293     312.1700     214.8092     235.4324     284.0939     510.6203    3435.6524     558.5434    1316.1610     905.5467
     197    8275.7125     435.2413     346.4054     318.0530     387.0530     406.9323    3223.6032     575.6726    1574.6377    1008.1140
     198    8062.5307     401.8958     265.5185     245.9764     279.5940     428.6304    3479.0719     643.5340    1327.0418     991.2680
     199    7907.9742     570.1199     633.0209     409.1064     277.6541     434.2146    2688.7118     562.9734    1391.9107     940.2623
     200    9148.1739     595.5811     546.5874     489.5635     506.7991     396.2080    3642.3194     566.1955    1448.1983     956.7216
     201    6486.1943     287.6287     203.0894     199.9899     313.1065     552.4057    2275.1519     458.1982    1557.0252     639.5988
     202    7826.3210     420.4271     332.3957     419.5294     305.5824     297.0908    3170.6896     592.6528    1602.6539     685.2994
