#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      80    8465.3438     415.8889     406.0162    1410.1119     463.9500     396.9598     437.6845     396.9671     286.1602     338.1670     305.0981    2846.2248     762.1153
      81    8087.6381     480.6863     538.2469    1397.4481     364.6073     236.4043     214.2406     258.7765     282.0388     265.8380     360.8868    3135.6152     552.8494
      82    8959.1266     335.6250     316.0397    1747.4944     341.6783     400.4760     357.9641     285.6396     307.7490     287.6192     319.6962    3427.1545     831.9907
      83    9617.1034     342.4652     460.2735    2092.2637     434.7787     337.7438     225.5433     223.8283     362.3023     557.7240     624.7695    3315.8400     639.5711
      84    9365.1906     388.2470     430.6782    1696.6486     536.2651     374.0156     243.2580     204.2212     199.5505     277.7490     476.0694    3561.2586     977.2293
      85    9347.1441     483.7542     448.5472    2045.8776     466.8269     270.1118     289.0210     353.4515     420.0739     343.2424     433.0643    2852.5865     940.5868
      86    6069.4739     360.2974     312.1638    1226.1773     396.7012     276.0320     195.7992     205.4872     203.2002     234.8400     284.0570    1777.5737     597.1450
      87    8241.7780     542.9494     443.5566    1391.5937     698.8055     558.5402     403.0000     268.8455     300.1309     270.6102     283.4902    2107.6499     972.6059
      88    9100.6711     385.9027     367.7034    1588.9884     568.2093     492.9496     686.7042     575.6817     385.0170     375.9815     443.3478    2525.5526     704.6329
      89    8849.8804     465.0793     348.0523    1343.5846     483.6912     348.0232     451.8412     720.2221     601.2311     384.0342     385.9391    2577.4014     740.7808
      90    7750.1465     467.4677     285.4493    1307.8944     307.6507     272.2592     282.4710     302.5842     368.1322     496.1542     551.4206    2478.3846     630.2783
      91    8162.5784     508.8282     480.7949    1511.2759     427.1854     325.5593     211.6649     184.9547     178.0014     173.5301     261.0315    2920.0846     979.6674
      92    8970.6658     531.5128     358.3005    1725.3183     380.2818     235.1245     250.9109     279.1477     309.1543     340.0951     315.9113    3405.6618     839.2467
      93    9758.4270     718.9741     677.7653    1865.4673     444.1881     317.5332     263.3068     278.6265     371.5117     309.0402     356.4870    3197.6043     957.9226
      94   10274.9380     695.3232     499.3378    2057.0291     595.7866     476.2040     312.4904     273.7585     343.6342     505.5279     427.5285    3465.3836     622.9343
      95    9177.1700     582.0275     611.6060    1199.8953     583.6840     452.3354     291.6882     314.4152     274.0064     295.8736     380.4048    3499.9956     691.2380
      96    8942.6602     360.4386     277.1931    1429.0101     493.2135     500.7881     562.2825     423.8431     296.5474     276.9472     311.1930    3050.6862     960.5174
      97    8192.1015     410.7425     384.1734    1415.7922     622.7646     405.9326     396.4380     388.0891     230.8235     226.6030     309.4641    2599.4067     801.8717
      98    8731.2590     672.9289     609.8025    1631.3208     382.4473     287.0684     327.0217     350.2671     426.5595     313.7798     355.7071    2618.8873     755.4687
      99    9441.9962     754.1107     546.3146    1550.7740     442.7313     389.2538     273.4736     297.8053     322.8064     276.6905     368.5735    3159.9516    1059.5108
     100    7195.3914     630.6343     355.2344     953.4322     412.3954     303.7092     233.0614     282.2378     321.8052     286.4720     297.6022    2525.8610     592.9463
     101    7950.9630     339.4621     299.5047    1228.5522     346.0383     325.2066     242.2952     252.2677     260.4733     400.5034     414.7471    3170.9029     671.0095
     102    9452.9714     704.4945     896.3846    1567.5068     351.7512     307.4037     252.9179     212.6570     207.8360     285.2375     370.2997    3370.8406     925.6417
     103    7420.7873     615.7732     409.8899    1183.1120     322.9835     231.6027     280.8569     340.1264     450.3307     394.8081     385.6629    1947.8040     857.8370
     104    7930.7886     780.3263     523.3477    1125.7679     568.6686     388.9221     226.4354     178.1316     174.3355     184.4342     243.9208    2535.0345    1001.4640
     105    7309.7596     310.9043     286.4189    1025.2337     406.5255     484.6540     415.6841     294.3936     253.5918     284.4428     351.1782    2499.6096     697.1230
     106    9359.1265     432.9477     488.6417    1754.9962     451.4247     483.8809     500.8555     617.9319     412.2811     380.3146     390.5816    2912.9920     532.2786
     107    9027.9124     577.6293     488.7205    1309.1611     321.2524     329.9388     344.0808     280.6593     281.0433     411.6699     396.4370    3515.0652     772.2547
     108   11731.2417     745.5440     485.3155    1289.9107     383.4780     418.4063     472.3492     553.5958     600.9198     566.2439     659.6826    4502.3772    1053.4186
     109    7928.3609     351.3884     316.4508    1136.1967     327.9926     226.1319     216.8507     274.5070     388.9187     435.1809     396.1156    3023.3872     835.2404
     110    9572.0441     379.5069     395.5784    1657.6506     606.1601     477.1564     434.8820     369.3102     279.6305     297.8730     387.1643    3318.6081     968.5236
     111    8754.9060     456.4626     356.8764    1534.4688     546.5570     336.8268     349.0735     261.8363     322.3403     301.0305     349.6695    2995.6934     944.0710
     112    9506.8621     491.7248     520.4310    1356.9251     408.2368     398.6518     350.6233     295.2583     282.0622     357.5061     350.5537    3932.4310     762.4579
     113    6603.9957     312.7411     217.7794     790.9387     322.7275     300.1252     247.4116     255.3541     366.3732     482.1228     454.2711    2103.0767     751.0744
     114    9981.8053     562.2381     539.0913    1722.4415     458.0048     387.2579     365.9524     420.6454     470.2085     382.3288     506.6901    3165.7573    1001.1892
     115    9758.9202     411.5864     442.7092    1426.4882     543.1130     498.1106     550.7363     364.4922     412.6668     443.0664     506.1846    3323.2609     836.5056
     116   10738.0427     541.3895     483.2464    1322.2866     463.2350     400.8221     624.1971     870.7054     598.2462     343.9322     323.5559    3721.8103    1044.6161
     117    8928.0303     418.2789     388.5697    1812.0691     417.9482     369.3459     394.9076     374.6462     492.1385     401.8557     330.2062    2879.7204     648.3438
     118    9323.1636     736.2316     656.8500    2065.0293     396.5470     232.5684     198.5190     187.7976     202.5928     267.9849     485.1125    3140.6525     753.2778
     119    9547.3273     425.5590     402.6298    1698.8193     653.9776     410.4279     284.5473     227.0191     225.3376     307.9018     484.4794    3637.6009     789.0274
     120    8043.2772     349.0204     457.5895    1105.1603     505.6823     521.9914     503.4321     320.7727     208.7968     203.6979     295.8841    2910.5171     660.7325
     121    8826.7769     317.2034     289.0652    1744.7482     359.1915     234.8598     218.6612     246.7017     377.5059     419.9762     443.3924    3359.1371     816.3343
     122   10814.2058     562.0857     387.5840    1855.8846     660.6359     414.1999     372.3209     418.2154     312.1562     305.0821     350.5379    4267.9560     907.5473
     123    8297.0801     573.5146     478.5252    1581.3590     502.1288     341.4985     384.6300     342.9902     303.3581     219.0172     284.7350    2553.8952     731.4283
     124   10289.6546     404.1483     403.5279    1822.5216     453.7710     364.0376     423.1702     356.4769     482.3525     524.4961     524.4814    3641.3059     889.3653
     125    9782.4453     366.9964     415.8059    1592.7755     539.6784     377.6679     324.2928     484.2993     501.1729     434.1628     437.2356    3116.7167    1191.6412
     126    8102.5276     509.3876     493.5790    1241.6147     435.5985     445.0009     336.5211     335.7090     236.8434     237.5375     387.8383    2714.4623     728.4353
     127    9160.2974     530.3607     357.0612    1574.5365     549.2759     456.5822     291.5338     330.4313     386.1834     380.0990     409.3167    3089.0033     805.9135
     128    6129.4641     586.4103     384.9946     900.7391     263.4954     190.8989     173.4221     192.6691     226.5327     306.6266     371.5698    1925.2693     606.8364
     129    8302.6337     525.5240     481.5518    1439.7647     314.8899     246.5228     391.9838     366.7402     396.5793     403.0289     346.5086    2559.4732     830.0665
     130    8712.3128     603.8440     520.6624    1692.7743     359.5967     301.1628     237.2090     212.0842     239.6154     475.5308     532.5399    2803.5925     733.7007
     131    9746.2833     425.2767     445.9512    1629.8269     454.1116     382.3806     231.2877     274.4189     291.6873     293.6553     317.4977    4191.8191     808.3702
     132   10580.1379     580.1910     566.0270    1219.9884     722.6773     617.3559     497.8126     340.0181     354.0863     502.5858     393.9067    3983.8077     801.6809
     133    9303.4046     989.4905     416.6882    1499.9432     419.2117     285.6119     303.0319     496.4976     553.4000     383.3954     414.2981    2834.8252     707.0109
     134    9211.4839     552.3944     394.7183    1509.2948     475.7202     460.6902     503.0519     394.1288     450.5688     389.8643     467.5427    2962.8169     650.6925
     135   10050.4454     530.6191     380.1690    2114.4269     317.9179     352.7824     351.8491     326.7658     379.5688     507.6833     398.8967    3516.7540     873.0125
     136    9165.0575     547.2567     475.5789    1487.2289     515.1032     511.4432     326.3301     225.8562     201.1245     219.8875     366.8628    3545.7937     742.5917
     137    7195.2964     320.9751     236.3882    1345.8975     397.9840     458.1527     396.5098     310.1210     229.0133     249.3817     354.3522    2183.4005     713.1203
     138    5963.7173     394.3493     291.2333    1054.2506     303.3236     208.8506     190.9907     165.9176     172.1235     183.0902     239.1940    2189.6325     570.7613
