#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     217    5867.9702     325.3512     254.7865     255.4576    1249.9881     458.4232    2638.6086     685.3551
     218    6608.4010     773.0103     393.7540     304.9770    1239.5410     502.6460    2750.7487     643.7239
     219    5220.2845     323.8365     242.3021     258.3798     972.4779     318.1176    2404.4377     700.7329
     220    5445.7885     340.7059     251.1305     229.7277     851.2354     316.1652    2666.6942     790.1296
     221    7888.8472     459.9968     443.7098     458.2297    1898.0834     509.6590    3497.4960     621.6725
     222    5369.7391     334.9780     263.0959     326.7600     950.2555     489.0471    2329.9148     675.6877
     223    5556.5477     514.2091     495.4639     431.0715     865.9462     344.5075    2311.7620     593.5874
     224    6970.9853     608.5193     494.7625     642.5775    1381.0561     417.6584    2662.3716     764.0398
     225    6987.7386     474.5883     449.6800     686.8924    1382.4500     489.4097    2634.4273     870.2910
     226    5677.4595     337.9049     252.6037     271.2150    1140.6626     499.2691    2419.6639     756.1403
     227    7893.8518     914.4849     465.4189     475.4186    1161.2242     622.3358    3261.7238     993.2456
     228    7471.6170     342.1577     320.1338     354.9988    1916.9160     564.5976    3169.2062     803.6069
     229    6554.9301     529.3249     448.6989     499.6246    1173.2659     427.5990    2667.4915     808.9252
     230    4757.8355     472.6669     299.2704     303.7928     934.6764     395.5357    1828.2354     523.6579
     231    6275.6146     322.5699     223.5076     263.1983    1396.9872     351.5184    2994.1910     723.6423
     232    6312.9356     420.2123     528.7695     348.5473    1611.1440     507.7040    2290.3363     606.2222
     233    6617.7058     307.4441     215.8679     240.4017    1339.8505     454.0678    3226.0888     833.9848
     234    7438.7010     519.2362     625.2643     575.9030    1619.0128     465.8983    2608.9983    1024.3881
     235    6948.9461     566.9235     494.4161     432.9516    1696.6565     497.4235    2317.7440     942.8308
     236    5644.8718     638.5370     437.3569     411.9118     917.6812     450.3451    2068.5482     720.4914
     237    6186.2879     390.3949     322.6467     330.3406    1509.7216     486.8441    2284.6512     861.6887
     238    7169.7911     537.4173     480.1727     404.4943    1925.9088     586.4937    2442.9198     792.3845
     239    7364.5560     673.8209     323.5911     334.4739    1710.8634     729.4233    2729.5417     862.8416
     240    6307.8034     739.8341     598.4097     471.1347     992.7123     526.3118    2270.7337     708.6671
     241    6588.1790     336.8181     329.4146     474.0409    1154.3659     570.5357    2852.0608     870.9429
     242    7413.4457     672.6444     688.5851     546.2805    1491.5153     570.9212    2562.5553     880.9439
     243    6098.4281     370.6585     277.8548     269.6309    1528.8571     434.4044    2618.2348     598.7877
     244    6985.7174     397.5206     432.4692     633.7637    1266.2995     658.9798    2780.2210     816.4637
     245    6687.6212     526.6523     373.5552     360.4535    1902.2689     549.5830    2133.2821     841.8263
     246    6212.4250     504.8498     398.8502     487.0323    1144.8051     540.9514    2414.9207     721.0156
     247    6860.9613    1063.3951     538.3029     409.9001    1398.3388     531.2255    2132.2628     787.5362
     248    5734.5582     338.2709     266.4181     258.0530    1426.9829     477.0195    2250.5824     717.2314
     249    6078.2875     409.3881     316.2703     368.3923    1501.6487     438.0865    2535.2028     509.2988
     250    5372.9458     338.7751     258.4531     250.1328     959.6566     374.3340    2546.3980     645.1962
     251    7658.2203     626.3984     371.7964     367.6475    1621.6959     454.5996    3511.5188     704.5636
     252    7565.9160     585.7141     571.4814     296.6695    1540.6899     639.3237    3225.7066     706.3308
     253    5786.4013     458.5860     369.4530     346.8550     915.7695     400.5607    2559.7895     735.3877
     254    6659.1695     452.5677     442.2130     383.9168    1721.4426     602.8180    2574.7227     481.4888
     255    6677.2275     599.6253     422.3022     519.2652    1301.5484     422.0252    2689.6057     722.8556
     256    6345.8975     832.5958     436.8426     339.8834    1217.6856     554.0818    2133.9371     830.8713
     257    6559.5235     319.0710     206.9863     305.0050    1471.4506     556.9764    2752.3314     947.7030
     258    5565.6850     350.7750     262.6931     279.5965    1299.8132     456.6943    2386.9204     529.1927
     259    6738.7378     658.3387     340.0423     400.3473    1407.2700     576.4949    2551.7640     804.4806
     260    7135.6513     710.5295     586.4163     366.6570    1166.0659     475.3072    3279.8421     550.8333
     261    6286.4759     436.0858     396.4868     423.8747    1419.0613     489.7754    2232.8857     888.3061
     262    6097.2302     380.7546     376.4317     348.6652    1195.4542     566.9199    2461.8176     767.1870
     263    5609.2585     335.9712     235.4980     348.4733    1021.8171     407.7153    2680.3008     579.4828
     264    5478.0051     606.1256     394.6667     384.7650     985.8173     332.8055    2048.1603     725.6647
     265    5641.3363     308.1943     200.4779     231.0371     936.5067     385.4320    2803.5069     776.1814
     266    6049.2630     320.2639     201.9976     222.7699    1513.2188     417.6519    2691.5758     681.7850
     267    7588.9909     540.0020     373.9461     380.0783    1885.8296     511.8689    3194.8681     702.3978
     268    6325.5839     706.2403     373.8029     389.9685    1265.6404     383.1189    2570.5505     636.2625
     269    5194.1972     309.4658     209.3744     210.6522    1249.5890     465.9581    2254.8925     494.2652
     270    6378.0830     467.3003     310.2898     284.4167    1216.0143     580.0829    2744.1976     775.7814
     271    6642.6426     398.6102     477.7540     469.8453    1083.7467     489.4301    3008.2763     714.9800
     272    8127.0206     581.5671     403.2799     362.2887    1988.1789     714.9511    3226.2335     850.5215
     273    5572.6048     448.6295     347.9848     348.8153    1275.7882     363.5330    2319.5209     468.3331
     274    4487.3715     328.4919     239.8900     283.2161     956.4839     327.6511    1879.8230     471.8155
     275    6602.5909     796.1144     370.3148     379.3388    1522.6661     460.7638    2588.5735     484.8195
     276    7470.4759     500.1082     441.8347     358.1678    1778.8613     634.1434    2773.1948     984.1658
     277    8855.5583     427.3448     395.3802     480.6946    1984.1621     556.5287    4108.5083     902.9396
     278    7887.7668     767.6005     695.2146     519.3556    1157.7224     513.6338    3399.6962     834.5437
     279    7981.1580     731.7786     515.1821     378.1938    1305.0822     576.6200    3625.3817     848.9196
     280    5675.9061     322.7496     209.7486     214.8857     968.3033     382.0301    2812.4194     765.7693
     281    8946.1113     665.2380     804.4341     679.1485    1539.0193     601.0201    3779.8902     877.3611
     282    6680.4404     480.9067     340.9334     359.2299    1461.5904     632.5217    2511.0532     894.2051
     283    6983.9169     793.5096     616.3836     422.2195    1332.9465     550.1291    2562.2114     706.5173
     284    6687.1331     433.9376     358.5580     386.3607    1616.1043     479.3753    2864.4213     548.3760
     285    8599.4045     649.9698     540.3717     800.4225    1629.7514     501.0843    3458.3478    1019.4571
