#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016
      96    8891.3357     337.1817     228.1029     200.5217     201.0556     395.0655     681.8058     516.5919     290.6095     228.5988     275.7900     321.7354    1302.1318     499.4950    2815.2238     597.4263
      97    9085.4016     521.7590     486.4284     362.1829     243.0654     315.2051     449.9703     432.5162     278.8936     285.3471     280.9275     301.0941    1119.5373     521.3177    2599.5006     887.6565
      98   10228.6563    1064.3199     391.0264     306.7679     390.1781     369.5107     236.9901     222.0385     270.5958     307.7496     327.1477     417.3917    1646.0830     619.9513    2952.8137     706.0918
      99    8275.5181     408.9961     374.3429     322.7330     227.1629     236.9337     250.9534     299.9388     435.8857     319.8803     250.1057     324.6675    1466.3725     481.4883    2194.0225     682.0349
     100    9142.9278     400.6481     397.0968     433.5558     422.7060     354.9871     411.8204     304.7960     219.2958     212.4623     236.6210     300.5123    1029.2802     347.3210    3026.2571    1045.5680
     101    9742.1364     765.3600     345.1789     273.2811     283.1196     421.7233     436.2515     295.2340     280.1615     339.1394     339.4632     335.2764    1631.7557     480.7461    3001.9108     513.5348
     102    9631.7397     376.8971     256.1424     285.5600     265.2690     252.6063     257.5756     461.2607     562.2429     369.1560     300.7414     263.0103    1442.4391     537.4215    3006.1818     995.2355
     103   10138.2315     382.9376     409.2805     282.4717     239.8917     320.2551     474.1796     640.8876     470.4020     360.5505     231.4178     239.9830    1021.3478     396.5450    3929.1983     738.8833
     104    9885.3007     543.0579     311.1308     313.1284     421.8009     508.3313     531.6931     532.5267     477.9708     455.0152     315.6331     273.8824    1083.4665     412.7387    2949.9976     754.9274
     105    8314.1588     676.1592     364.0865     270.5674     198.3637     176.7115     162.9179     163.7381     181.2046     249.3361     371.1679     394.0169    1270.0706     375.6824    2721.6500     738.4861
     106    8425.1549     460.3382     364.5867     262.8570     299.9759     401.3155     512.0357     366.8791     256.6477     248.1263     233.8573     289.0075     982.4718     331.7722    2593.0918     822.1921
     107   10267.4878     644.1744     543.0738     415.9128     427.7148     331.3154     284.8164     340.7779     439.5057     373.6826     269.3823     259.8090    1600.9066     513.8385    2942.2769     880.3006
     108   12263.5066     899.2765     526.5752     355.1079     360.3253     502.1885     571.0452     505.6699     483.5654     515.7493     603.4441     590.5080    1289.3018     617.7349    3338.9049    1104.1097
     109    8520.7414     304.6262     198.7237     158.2218     173.5148     169.2925     207.2002     293.3507     332.0723     479.6597     559.1877     556.9549    1483.6375     645.6300    2208.2365     750.4329
     110    9283.3704     532.7251     643.0166     381.5043     274.3344     218.0028     206.5866     213.8834     281.1362     312.4492     257.7387     275.5910    1421.9418     355.9831    3136.1490     772.3282
     111    8742.6286     381.5828     342.0942     242.9770     183.3142     180.5142     166.9478     162.3928     161.2917     172.7262     177.7824     215.7126    1669.4718     525.2102    3314.7559     845.8548
     112    9948.8945     665.3173     479.4047     530.1524     467.8828     458.9882     462.4600     413.0638     296.1502     273.7439     247.6975     255.1564    1075.0384     407.4758    3226.0709     690.2922
     113    9547.0897     757.2491     404.1837     252.8337     252.8470     244.1716     229.7123     296.4906     288.6724     331.9961     493.3499     753.1363    1429.0091     660.6869    2350.2215     802.5295
     114   10035.0375     539.0244     478.7014     333.4186     308.8389     548.9804     462.7856     301.4551     360.5370     340.4929     315.6474     373.0795    1349.3455     507.1608    3104.2659     711.3040
     115    5934.6788     359.4703     247.0032     219.2840     212.1847     217.4909     225.2837     211.0173     192.6627     196.6329     219.1473     259.2979     880.6138     291.7680    1731.6680     471.1541
     116    7342.6560     525.1119     240.3404     185.4569     171.1883     215.6332     259.8335     242.5013     225.3426     210.0927     216.7356     236.6978    1062.8430     477.9965    2382.3636     690.5187
     117    8206.7784     449.9988     280.8588     207.4486     190.0278     188.3726     194.9020     253.8446     357.3751     351.9954     260.6229     264.5037    1263.2719     427.6005    2714.2772     801.6784
     118   10319.8929     793.7125     332.5871     225.7845     373.6829     580.4713     516.7064     437.5269     426.0470     379.5443     390.0894     360.2460    1172.0744     452.6130    3095.8611     782.9461
     119   10237.5868     770.4966     764.4900     447.2632     310.0994     302.2627     309.8696     278.3824     331.7448     386.7424     350.5221     393.0719    1166.4330     483.8271    2886.6475    1055.7341
     120   11183.6224     480.5581     444.9756     354.5951     278.2716     261.0956     269.3860     406.8272     475.3095     346.3302     422.4021     385.0496    1509.3893     684.3458    3752.8287    1112.2580
     121    9456.1735     485.7409     466.0588     476.4395     307.1363     250.1822     237.5513     224.7916     213.8732     223.5203     262.3150     361.5287    1427.8257     510.3391    3022.6786     986.1924
     122   10555.2093     499.4866     463.1270     488.0954     261.5944     246.3283     289.4736     250.2537     313.7293     554.5674     738.1182     610.2246    1489.5685     772.7869    2635.4052     942.4500
     123    9688.9706     585.2531     343.8520     360.3312     283.6395     255.7691     200.6485     182.3626     187.1113     279.4218     455.2105     497.4612    1096.6168     533.1662    3437.8133     990.3136
     124    9775.4251     543.5139     439.7177     330.9817     284.4592     276.2236     214.1314     213.9803     212.7239     211.6359     220.4704     241.9120    1525.7123     623.1279    3626.6175     810.2175
     125   10197.1979     990.1210     572.7497     364.6776     292.0565     218.1523     203.8621     219.6118     237.9048     254.9525     269.1653     289.4224    1477.8173     395.1522    3492.0920     919.4604
     126    8691.5087     506.1294     273.0600     244.0085     304.2272     369.9562     319.0959     204.3554     191.2959     236.6413     411.8042     536.4132    1146.7488     440.5903    2867.2084     639.9737
     127   10670.6069     852.4197     527.2928     367.6910     418.7252     430.4961     377.2639     354.4591     316.0656     347.9437     334.8430     349.5968    1271.4314     868.7056    3274.6785     578.9943
     128   10414.1865     338.4011     221.2616     239.6134     282.8469     235.9629     217.7913     221.9550     221.8498     366.5297     416.8377     328.6318    1831.0311     421.1942    4284.4587     785.8213
     129   11562.4054     735.1100     505.8010     292.4235     229.3050     223.3868     269.3602     393.5046     429.4913     322.3239     361.2389     407.8466    1782.3297     558.1234    4211.2030     840.9576
     130   12854.1555     667.5358     533.2903     369.9112     394.6856     576.4235     501.9279     702.0848     745.5677     467.7596     324.4362     318.3023    1298.9087     476.3540    4189.9472    1287.0209
     131   10749.2165     505.0204     746.7466     822.5508     509.9440     240.5818     209.0962     265.7770     351.1819     398.6969     317.2448     390.2073    1294.6783     560.9704    3193.6214     942.8987
     132   12170.8205     467.4418     495.6001     488.3595     386.9022     606.3132     626.6043     797.3048     609.8177     292.5169     328.7296     338.7655    1559.7331     678.4961    3719.5106     774.7251
     133    8953.4765     476.0123     412.3059     403.1439     390.1888     378.1907     262.4715     264.9656     272.0316     233.1356     256.7001     276.3039    1083.2312     466.2856    2957.8320     820.6779
     134    8308.7703     312.9361     246.7661     244.7945     316.5626     291.0193     330.6671     336.0059     345.7387     425.4472     493.9922     468.1557     976.6852     464.8038    2421.3523     633.8435
     135    9945.5652     429.5315     329.3111     326.2001     429.9299     533.7067     666.9678     514.3398     325.1849     301.3224     320.1779     286.1278    1138.0126     418.5557    2976.4534     949.7436
     136   11986.8776     530.2350     485.0652     578.0193     912.8460     666.1388     373.1828     328.7264     296.0588     359.9131     408.1935     414.9402    1449.6398     495.4961    3650.8155    1037.6068
     137    9637.0423     675.8442     392.3638     399.6415     387.7108     301.9930     274.1107     227.7689     286.4772     287.2515     381.0281     385.3829     990.1487     442.5406    3276.8177     927.9627
     138    7715.9539     311.5846     213.1113     206.6022     245.4831     265.3977     192.2824     169.7284     161.3717     173.4765     180.5529     238.7182    1571.7748     525.7894    2655.1567     604.9239
     139    9586.3904     961.6980     525.8478     265.7157     234.6464     201.1009     192.8833     191.8455     281.3947     350.5314     290.8872     332.9236    1602.6899     483.8191    2778.3106     892.0963
     140    9240.9100     397.7136     278.1867     336.0904     404.2116     434.5479     318.6950     250.7935     240.5076     251.8955     220.2829     234.1896    1477.5711     634.9941    3005.0906     756.1398
     141   10243.0396     549.4028     321.2263     355.7317     364.2330     470.7909     542.8556     409.9923     310.5627     334.9469     300.7394     301.8814    1437.6907     572.1925    3115.9597     854.8337
     142    7617.1361     348.7949     233.8613     214.2372     222.8376     233.2850     280.3958     270.6622     281.3248     274.4740     311.9647     369.5813    1072.0458     303.9195    2506.6659     693.0860
     143    8158.1088     481.1416     433.1989     389.6680     372.1929     325.2164     280.2208     282.8568     230.2422     208.3936     233.4974     261.0957     906.0096     468.7837    2575.7409     709.8502
     144   11050.1095     350.1967     235.6981     356.4148     531.8772     411.8129     293.9829     320.9959     365.0308     376.8741     595.4767     759.3329    1478.5795     509.3198    3434.2249    1030.2924
     145    8189.4777     545.8390     296.2602     269.1559     276.8088     259.9262     247.0667     236.1045     217.5194     204.7039     294.1123     401.4758    1214.2839     372.3412    2617.4986     736.3814
     146   11031.2976     562.1119     594.5112     368.2294     286.1960     293.4774     436.3208     444.5580     282.0791     238.0040     218.8807     246.4989    1590.3996     642.0069    3777.9524    1050.0712
     147    8513.7569     359.0195     363.0808     410.8732     410.7399     314.2193     242.6462     247.1693     366.5297     366.9171     268.2129     310.4089    1250.5645     466.2183    2503.2662     633.8910
     148   10937.2349     339.2668     297.2976     346.5769     248.1673     207.4154     195.9394     275.5727     577.4737     454.5766     408.0444     535.4911    1985.2453     565.9852    3279.3080    1220.8744
     149   10838.8475     415.7776     358.1870     455.2730     400.9105     300.4778     358.5298     366.4920     332.1825     371.3806     334.5994     429.7351    1765.0220     703.3512    3432.2987     814.6302
     150   12152.6113     723.2230     955.7601     649.0500     461.1742     326.9815     338.8470     409.3276     387.0325     347.9821     351.4717     333.2105    1439.2421     568.5541    3816.5046    1044.2502
     151    8424.5522     788.2619     502.1974     388.7325     285.4948     264.3595     296.0845     286.6453     272.9893     289.9987     324.4012     268.2247     874.0536     310.6003    2683.7716     588.7369
     152    9538.4266     620.4973     476.3292     289.2413     277.4244     249.0989     193.5531     187.8039     186.7010     221.2148     354.4793     474.3176    1534.4123     451.2445    3466.3145     555.7946
     153    8411.4486     599.8519     353.5966     219.0252     181.9730     166.1310     176.1513     180.1662     166.9820     214.9932     264.0665     392.6104    1390.1962     542.7350    2795.2848     767.6853
     154   11028.2177     727.2072     421.5944     362.0505     373.1253     407.5999     329.1341     366.9233     288.8091     305.2916     269.7983     284.4995    1852.2946     521.3856    3591.8745     926.6298
     155   11519.3109     766.4224     457.3301     352.4232     431.2945     326.3525     229.2012     213.7415     210.1520     311.9970     357.2348     508.6007    2373.7560     675.7583    3105.1087    1199.9380
     156   10120.3147     432.9720     463.8577     280.0165     192.2907     172.3024     184.8138     223.8789     261.3719     349.3839     447.7062     414.4046    2055.9985     640.9603    3178.6725     821.6849
     157    9974.8050     385.2122     451.3721     421.8401     348.4414     262.6165     291.4953     282.5065     433.4700     534.1866     577.2475     479.5956    1455.3649     417.3033    2454.8700    1179.2830
     158    9905.8427     404.9513     299.5483     230.5534     296.3616     332.6166     456.6864     379.6720     278.8297     264.8156     254.6842     321.2449    1571.4523     400.9596    3701.5466     711.9202
