#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      77   12833.2613     478.4759     418.9632    1870.9946     390.3093     248.1052     254.8523     407.6687     357.3998     534.7750     606.4741     681.2674     461.3875     345.0165     356.4558     294.5411     341.7775    3714.1259    1070.6714
      78   10043.3877     416.6015     363.2326    1815.7046     559.1209     296.8309     209.0357     204.5088     239.6604     307.1406     267.3677     215.4457     199.6317     209.8029     226.7606     356.0183     444.9862    2950.2056     761.3331
      79   11848.1908     530.2856     461.4580    1725.0745     469.5420     375.9236     272.9246     305.8778     306.7943     231.8118     225.3444     286.6850     488.9480     433.3523     309.9494     367.8971     485.9980    3819.4656     750.8588
      80   10685.1876     487.2425     356.4607    1002.6817     296.9021     274.4672     381.1725     373.7192     453.2830     394.8554     364.4145     474.6287     409.8263     423.3359     341.8345     383.6267     486.1591    2968.2562     812.3215
      81   10353.2001     447.3714     454.8983    1252.9436     439.1342     285.6332     281.7608     216.0069     224.2783     294.0698     268.0126     396.2429     586.7395     562.4375     560.8645     326.6666     338.0525    2521.0647     897.0230
      82   10666.3639     345.0467     306.7322    1239.2694     606.0655     357.8267     237.1880     208.6216     272.6042     323.7284     359.4680     380.6898     438.1827     260.1061     210.6843     244.1219     454.9702    3209.7034    1211.3548
      83   12079.8176     449.1750     445.1084    1748.0968     424.5156     277.5404     234.9816     248.7668     266.9977     220.4899     207.7465     261.0998     426.5915     399.8685     463.6602     621.8766     468.6467    4205.1312     709.5243
      84   10915.6530     444.5504     597.7074    1064.1482     303.4900     303.9562     330.3650     271.5327     243.8728     233.4156     293.4830     405.1292     633.5672     565.4062     412.0500     261.9321     260.2034    3481.5711     809.2725
      85   11605.1212     576.5129     490.7017    1129.3884     423.5091     333.6241     399.4700     384.3327     530.6302     370.4623     360.4959     331.9608     332.7051     274.6933     284.5434     313.7382     308.2474    3922.7189     837.3868
      86   11876.3362     594.7269     457.4535    2214.8836     616.9231     351.3829     257.4135     282.7794     394.1043     530.0152     312.7438     213.2908     200.9881     218.9958     233.9140     347.3608     363.5391    3383.1064     902.7149
      87   10955.4660     387.0675     455.9360    1291.1746     364.5134     312.7732     403.4831     494.0236     406.1890     377.4620     519.6991     485.3860     304.8994     221.8167     231.0825     315.3647     471.9425    3124.0387     788.6141
      88   11272.6730     421.3332     350.2767    1754.7309     436.4580     268.9459     231.5306     253.0594     417.5083     582.6690     660.8887     372.2343     210.3972     190.0377     199.2048     259.7071     315.7768    3490.8561     857.0581
      89   10122.6018     841.8821     659.6360    1797.9170     469.5998     314.7098     269.9045     264.2667     295.5268     306.4797     276.3680     202.5162     171.0272     160.5494     177.3413     174.1326     228.8206    2732.6848     779.2393
      90    9791.6171     703.1386     624.0525    1509.3629     417.7048     427.0856     402.5286     261.1815     251.0964     259.9144     299.1451     365.2350     350.7368     210.1396     190.8083     234.4681     234.2102    2563.7373     487.0714
      91   11834.3823     668.0496     519.6265    1858.9948     799.0395     593.4738     368.1973     282.3139     263.1278     421.6016     384.1377     248.1899     196.5460     237.6263     259.9134     309.6282     508.2423    3253.0302     662.6435
      92   11437.7377     932.8102     468.9858    2308.4035     373.9629     276.6963     277.9551     193.1360     188.1508     183.7188     213.5587     257.7898     287.5246     261.4834     238.7393     247.7072     311.7205    3643.3410     772.0537
      93   11663.2404     622.5525     549.2579    1473.8527     480.1034     405.3546     560.8646     439.2396     360.5806     258.8615     288.4737     279.1797     289.0685     285.1790     280.3307     263.7451     413.3067    3376.1680    1037.1217
      94   10620.1981     344.0737     249.5891    1070.8814     397.2594     428.7389     567.6324     624.6212     438.9357     354.0420     249.3578     319.1597     608.8286     492.1543     362.5991     306.0535     322.0984    2870.3798     613.7931
