#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     156    6982.5004     946.7438     356.2734    1178.1895     468.4735    3202.4302     830.3900
     157    7633.3626     561.0167     711.9421    1244.3157     516.6966    3721.8190     877.5726
     158    6068.9285     797.6026     406.6060    1221.0455     520.9259    2557.0704     565.6782
     159    7046.7185     449.2400     509.5060    1687.2303     474.9769    3066.6978     859.0675
     160    6550.4958     827.5750     441.9681    1253.6871     435.2538    2817.2506     774.7613
     161    5615.6764     550.3933     437.4162    1326.1752     568.9868    1980.8197     751.8851
     162    6202.0361     537.1116     345.2525    1074.0942     396.0823    3095.2534     754.2421
     163    5238.3720     409.5658     320.8398    1450.6378     439.7141    2131.1000     486.5145
     164    6839.4522     744.8724     508.5732    1564.0931     363.1742    2963.1994     695.5399
     165    4652.0107     405.6134     274.1804    1006.4030     370.0581    2119.8466     475.9092
     166    5683.8054     322.0513     272.6042    1111.7030     391.2790    2844.6082     741.5597
     167    6026.3475     472.9917     312.8557     967.2134     349.5025    3103.5290     820.2551
     168    6788.9902     334.4292     282.6803    1653.3616     453.6681    3251.0643     813.7868
     169    7869.4211     427.7098     395.7108    1702.8580     530.3216    4060.0345     752.7865
     170    4553.3639     331.5737     259.2010     898.6969     254.6210    2161.9287     647.3426
     171    5060.1441     383.8061     280.6423    1427.2690     385.8708    1783.5405     799.0153
     172    5535.2414     493.4102     383.8190    1623.3719     368.4070    1791.2039     875.0295
     173    6931.2384     542.2030     422.3154    1595.2826     357.3354    3284.9071     729.1949
     174    5712.9831     319.7864     239.7266    1086.7206     461.0690    2879.6217     726.0588
     175    5264.1008     395.1904     287.8888     959.9026     328.8834    2536.2347     756.0009
     176    6871.9816     735.8173     570.2384    1249.7593     475.7062    3215.8883     624.5721
     177    6799.2055     433.7800     429.0954    1278.8079     475.3110    3350.1166     832.0947
     178    5694.6970     452.5515     380.1511    1241.1086     473.6416    2382.5687     764.6755
     179    7853.7202     474.5520     547.4046    1591.3694     423.7939    4036.5112     780.0890
     180    7265.2799     522.3841     468.0912    1086.5698     493.9118    3725.0769     969.2461
     181    5621.0710     510.7215     382.3961    1082.9143     409.3493    2591.8629     643.8268
     182    4582.6185     400.0650     383.7780    1076.7975     287.9851    1920.4726     513.5203
     183    6247.6942     414.0253     492.9604    1458.8375     537.1805    2435.1777     909.5128
     184    6500.4516     479.8259     329.9682    1637.2065     543.0691    2813.2033     697.1785
     185    6142.8605     320.1250     247.8449    1329.2003     562.1452    2847.3964     836.1487
     186    7196.5080     556.2526     500.5462    1480.9973     657.0368    2970.9768    1030.6983
     187    6540.2916     549.3204     459.0094    1319.4167     485.4194    2992.2244     734.9012
     188    6161.5413     358.6341     348.1448    1282.9364     681.8308    2631.5548     858.4404
     189    7636.2202     374.1836     343.7868    1985.5198     705.8427    3296.9370     929.9503
     190    5457.3667     521.4359     517.0106    1275.4378     387.0400    2006.6951     749.7472
     191    6027.6008     490.1203     370.6735    1623.9075     424.2113    2585.2769     533.4114
     192    6633.3749     466.3103     527.4205    1073.0199     482.7439    3263.4914     820.3889
     193    5674.8256     365.0556     283.4717    1025.9469     438.9739    2890.4306     670.9469
     194    6271.5534     678.8023     310.8206    1173.3292     441.7008    2941.3573     725.5431
     195    6235.4483     630.6591     456.1581    1265.8446     373.5323    2873.1006     636.1536
