#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     139    9328.6947     386.5953     384.1532     416.0142     272.4828     225.6479     245.6178     314.6214     366.4754    2242.3851     685.5831    2916.1961     872.9223
     140    9223.8333     633.9827     522.0197     465.6377     320.3589     353.8915     354.1661     322.4615     430.2488    1485.2695     425.9283    3272.6012     637.2673
     141    9796.9504     788.4258     720.7521     598.3080     401.9450     331.2108     295.0761     248.1258     303.1296    1904.1706     649.6318    2558.8386     997.3363
     142    9181.5824     474.0362     259.7016     253.7936     335.9080     348.8020     372.1677     326.4773     328.9011    1718.2166     717.4520    3260.8175     785.3088
     143    9675.5113     500.1619     448.1739     506.6473     452.2049     455.3090     417.2335     352.6202     428.3457    1423.0818     719.7118    2854.9359    1117.0854
     144    7745.1633     330.7778     235.1492     221.2661     269.7629     345.7478     240.6951     212.5893     240.9971    1295.3367     491.3591    2953.4455     908.0368
     145   11106.0589     857.4854     654.0683     463.7137     407.6302     474.8469     580.0437     456.3722     642.8004    1428.9905     675.2838    3218.8889    1245.9349
     146    7926.4285     616.0154     325.4301     306.8898     432.4332     356.3601     296.2643     299.6646     364.3458    1373.3956     519.7684    2319.5222     716.3389
     147   10358.2108     583.8841     445.7713     290.0912     248.8875     244.4867     216.3763     204.1483     280.7881    2099.1165     764.3058    3605.1672    1375.1878
     148   10158.0796     506.1614     425.7748     513.6927     637.8489     325.3841     344.1724     357.5326     361.8772    1834.4288     540.1857    2965.5153    1345.5056
     149    6099.6990     396.3711     301.0919     267.0695     212.3824     184.3108     187.0751     189.4869     221.5468     863.1180     395.4333    2251.9213     629.8919
     150    8897.0921     710.9814     246.2186     290.3527     393.6241     420.0590     356.3050     350.4955     393.0560    1300.1523     444.3705    3151.3641     840.1128
     151    8550.8810     374.5239     299.7823     327.2401     321.6539     343.8045     394.6837     345.3891     291.4939    1224.2153     621.2550    3316.4604     690.3789
     152    8053.8290     372.6948     288.8528     410.2350     445.0414     399.4094     303.4752     239.8957     311.0888     980.1816     425.1207    3255.6637     622.1699
     153    8230.4163     656.5937     308.5025     250.6261     221.4020     179.0010     190.2998     190.6967     243.1480    1222.0434     462.0988    3594.6289     711.3753
     154    6783.9053     339.5830     224.2154     273.6500     321.3034     218.3235     184.3292     177.6558     211.2541    1064.0200     363.1806    2632.5737     773.8168
     155    8485.1884     514.1672     442.0071     390.2098     331.0935     296.1775     228.2337     228.0190     273.4744    1479.5822     455.0323    2911.8321     935.3596
     156    6797.6070     427.5286     372.0966     347.1620     209.5382     186.4061     198.8534     241.6714     294.3111    1099.3606     425.7313    2380.2279     614.7199
     157    9397.1374     647.4049     479.2338     232.0789     209.7883     258.6905     286.1223     334.5164     371.4115    1562.8556     616.3912    3441.3576     957.2863
     158   10498.7383     462.0396     586.9749     469.6598     398.2793     318.5157     409.4766     332.0854     344.4110    1381.7867     666.5732    3908.2090    1220.7271
     159    9364.0948     628.9836     415.9643     352.6672     443.1210     373.4956     298.3508     258.9247     327.3802    1539.7095     757.2092    3060.9082     907.3805
     160    8231.6328     325.0383     358.3229     332.4973     304.2209     314.3574     376.9629     470.2695     417.4831    1092.1735     553.8034    2847.3798     839.1239
     161    8082.7713     374.8457     381.7845     356.0687     304.9820     371.8194     216.0260     186.7539     223.2673    1360.7606     509.8487    2809.5351     987.0795
     162   10259.2924     402.6816     292.8459     240.1101     254.0161     452.3785     372.9662     282.4354     394.2948    1870.4603     787.6698    3581.9811    1327.4526
     163    9056.0289     763.5523     801.3160     472.7681     256.5331     196.5919     195.5585     205.4623     231.5646    1493.0743     541.8963    3111.0266     786.6849
     164    9442.9974     471.1956     548.8310     378.8084     307.6284     338.3184     267.3624     212.8444     228.7187    1210.5024     713.9486    3940.1460     824.6929
