#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     258    5536.6989     671.5154     424.7364    2112.4110     503.5285    1068.5788     755.9288
     259    5806.6999     332.1989     292.9233    2449.7073     533.8133    1357.8578     840.1992
     260    5485.5927     330.2094     263.0200    2531.0382     408.6920    1442.7576     509.8756
     261    6911.6717     524.5271     607.7975    2759.2393     582.4419    1424.5883    1013.0777
     262    6760.7774     449.4037     502.4885    2983.2501     655.6609    1297.7240     872.2502
     263    5242.8340     335.3243     317.8284    2258.5320     537.7695    1110.9353     682.4445
     264    6574.8168     651.7480     438.5695    3069.4464     513.7989    1009.2190     892.0350
     265    7649.8915     523.7676     377.2036    3762.6379     558.8622    1624.1318     803.2884
     266    5746.4067     495.3289     338.1485    2742.6586     450.1145    1040.7174     679.4390
     267    7311.9890     526.2655     530.4060    3295.3448     460.4778    1642.4653     857.0296
     268    7030.7277     910.2226     669.8352    2669.8671     522.3480    1322.6566     935.7982
     269    5959.9141     549.6798     342.1138    2797.9405     442.0692    1176.4201     651.6907
     270    6306.7887     400.3456     370.2791    3011.4130     503.1595    1079.0513     942.5402
     271    5930.0877     465.9393     443.3566    2705.0420     446.3986     969.5732     899.7781
     272    7130.9906     707.3030     595.2399    3302.0417     525.3693    1300.8275     700.2093
     273    4596.0400     353.1695     302.3425    2284.6416     347.5814     832.9037     475.4013
     274    7215.6885     513.6185     422.4677    3438.0289     621.0530    1653.8083     566.7120
     275    6447.0800     504.3189     422.2555    3140.7596     405.4260    1220.1005     754.2195
     276    5688.8897     408.8464     289.4902    2614.1520     538.0185    1019.2056     819.1770
     277    6559.8902     493.0716     316.0661    3181.2260     572.3883    1057.3078     939.8304
     278    6042.0218     317.0459     269.6962    2825.1505     607.1434    1100.6991     922.2868
     279    6641.9982     449.7406     431.0514    3031.4543     582.6060    1134.2681    1012.8778
     280    5116.4493     577.3549     386.2051    2425.6583     353.6501     852.9253     520.6556
     281    5765.4516     440.4450     337.5961    2646.4570     518.6841     974.2268     848.0427
     282    5492.3583     316.9529     311.8434    2388.8231     512.4495    1118.5477     843.7417
     283    6192.8323     653.2471     538.2149    2409.5244     518.5139    1579.7213     493.6106
     284    5033.9615     355.0910     316.8160    2378.1287     450.2617     912.5765     621.0876
     285    6793.7100     762.2166     512.9792    3258.1468     649.7333     967.0540     643.5801
     286    4538.3226     422.8740     365.4558    1840.4815     356.2175     992.6531     560.6408
     287    6149.6489     434.3253     577.2524    2630.6217     478.3455    1072.7469     956.3573
     288    6125.2968     511.9012     331.5438    2947.9981     480.4959    1008.4019     844.9559
     289    6593.5972     553.2060     438.5430    2844.2497     450.1610    1796.8393     510.5982
     290    5454.3023     513.3499     482.0989    2253.3357     412.6302    1253.9471     538.9405
     291    8438.9652     486.6394     475.4858    3999.4437     677.8778    2189.7559     609.7626
     292    8033.2989     736.2430     555.2791    3631.7506     622.0382    1387.6952    1100.2928
     293    5847.3666     667.2703     362.7631    2480.2361     503.7611    1245.9419     587.3941
     294    6394.8706     360.9780     314.0207    3219.5555     429.5452    1333.0394     737.7319
     295    7785.2504     691.2070     602.7117    3353.4693     576.2838    1384.9451    1176.6336
     296    5594.5697     431.4376     387.6264    2302.9194     416.5630    1433.2716     622.7517
     297    5747.8099     504.8971     482.4937    2359.6641     458.7953    1030.2310     911.7286
