#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     138    6862.7693     523.9066     517.2540     451.2492    2702.1682     622.2060    1343.6790     702.3062
     139    6660.5542     450.0127     500.8138     514.7592    2704.8330     626.3301    1209.3246     654.4808
     140    6140.4386     604.8854     488.4072     541.0337    2106.9980     342.6514    1341.3029     715.1600
     141    8113.3445     574.6553     522.4489     582.1761    3264.2899     497.2311    1522.9362    1149.6071
     142    5266.1771     344.9210     273.2324     331.0450    2252.4570     397.1482     993.4235     673.9499
     143    6082.4729     446.4482     467.7281     433.9070    2535.2357     395.1686    1087.4388     716.5465
     144    5294.6676     459.1858     306.5599     281.0376    2405.1372     312.8439    1007.8318     522.0714
     145    7108.0799     614.3227     378.8687     352.3340    3184.0903     408.5845    1532.6719     637.2078
     146    4934.0384     335.1286     330.1781     304.5771    2214.9467     320.6333     954.6012     473.9734
     147    7031.8387    1221.8382     448.5735     345.0665    2484.4211     548.2186    1324.6400     659.0808
     148    6884.9395     573.8225     560.4019     403.4692    2659.9501     403.1692    1573.4641     710.6624
     149    6358.0775     350.0333     291.4814     370.6344    2930.1690     479.8278    1023.1639     912.7678
     150    7760.3511     780.6725     489.9923     436.4537    3619.0880     465.2543    1077.8947     890.9955
     151    7309.7388     548.1016     425.6939     428.8905    3275.1459     510.0894    1153.3716     968.4460
     152    6250.8762     507.7915     267.7736     251.7450    2886.1736     341.5045    1072.5902     923.2978
     153    7199.0447     456.0486     255.3070     265.9771    2966.1815     570.8986    1806.2055     878.4263
     154    6850.0733     763.3869     500.2203     336.2538    2523.2200     596.0840    1234.8723     896.0359
     155    6476.0719     469.6254     511.0303     398.4489    2744.1412     506.5281    1158.8762     687.4217
     156    5521.9475     456.1732     363.6552     404.5708    2384.6949     368.4146    1071.1167     473.3220
     157    5675.9064     384.8550     259.8465     281.2770    2428.7390     480.4079    1135.9444     704.8366
     158    6125.6669     709.5444     466.8163     375.3438    2463.8869     401.3364    1183.1954     525.5438
     159    6814.7038     452.7744     530.7394     443.5025    2641.1481     613.7024    1343.0150     789.8219
     160    6302.7252     439.3586     372.8865     612.3244    2501.1830     432.2801    1061.7347     882.9579
     161    7288.3582     407.4263     432.2399     353.1177    3417.8422     481.8829    1340.8185     855.0308
     162    5740.5913     365.6399     377.5379     352.0298    2709.8911     347.1599    1024.3147     564.0181
     163    6999.7535     348.4029     335.1939     416.8003    3367.6341     523.6416    1350.2352     657.8454
     164    4961.2749     452.4509     272.2288     294.2097    2079.4766     400.1479     989.6982     473.0628
     165    5624.6621     419.7072     355.7896     394.7445    2010.1210     441.1497    1204.2656     798.8846
     166    6739.2816     598.6673     441.3579     372.2769    2885.2782     440.4261    1294.7190     706.5563
     167    7143.0170     555.9621     456.3677     410.8145    3353.0275     476.4638    1070.0903     820.2910
     168    7744.2433     480.9214     543.0457     332.2501    3441.6472     554.5969    1543.7279     848.0541
     169    5151.1936     408.1918     323.3023     432.0010    2032.2555     381.2604     869.6278     704.5549
     170    7990.8791     430.8971     394.7230     376.4322    3598.3490     585.9572    1597.4878    1007.0328
     171    6139.5952     417.1192     273.1267     302.9566    2857.8419     524.0115    1050.9824     713.5569
     172    7525.7004     662.1002     425.4824     406.8360    3517.8944     447.4716    1294.0138     771.9020
     173    5825.2145     367.8406     436.4278     375.3789    1908.3426     464.0469    1652.1893     620.9885
     174    7067.5092     654.4980     525.5420     477.8871    2630.7204     662.2087    1368.5048     748.1482
     175    7600.2206     762.3222     478.9553     437.5897    3166.2634     550.7692    1603.1507     601.1701
     176    5509.2621     613.5940     395.5479     330.7214    2517.2656     283.5739     866.8710     501.6882
     177    5874.2443     462.8554     308.3038     387.2484    2143.6956     440.3153    1277.3859     854.4398
     178    7286.9007     717.7624     492.3168     514.8883    3093.2993     513.3166    1067.0374     888.2799
     179    7900.6733     913.8403     536.9644     540.6856    3108.1985     545.5853    1511.2221     744.1771
     180    7866.2520     793.4846     506.8456     363.1788    3439.0123     380.9628    1487.6092     895.1588
     181    6539.8146     404.7160     290.0808     297.5851    2837.6746     558.3013    1296.6535     854.8034
     182    5969.4759     516.9880     377.4533     323.8229    2797.8092     401.3538     921.3928     630.6558
     183    7709.6971     976.8230     477.3471     386.9759    2917.1180     675.0296    1451.5955     824.8080
     184    9350.4406     571.1317     481.1471     566.0248    4593.5203     553.8054    1694.5484     890.2627
     185    5381.6719     393.2055     289.2007     382.7832    2213.6975     388.3583     959.4437     754.9831
     186    6206.1949     422.0896     311.9594     325.3168    2411.8885     508.1841    1541.7970     684.9594
     187    6711.6403     610.3808     260.6590     317.5827    3187.6243     476.6203    1114.2373     744.5360
     188    7194.4103     694.0814     394.1719     390.4811    2753.1336     451.9512    1609.7978     900.7934
     189    6775.6441     628.3364     513.4023     423.4860    2353.0746     630.2399    1297.7301     929.3747
     190    8352.7469     626.9877     672.9857     434.4428    3632.3001     505.6967    1816.2976     664.0363
     191    7573.6587     840.7440     464.9573     471.4041    2875.4381     663.6387    1430.2771     827.1994
     192    7626.2505     649.1536     398.9404     281.9032    3035.8125     528.8359    1818.5700     913.0350
     193    6139.2236     632.3450     416.3551     344.6274    2217.3665     469.7422    1094.3570     964.4304
     194    6392.1414     709.5436     533.6730     439.5424    2167.1501     372.7451    1480.4193     689.0679
     195    6997.7598     379.6288     448.2508     323.9551    3234.2208     444.7542    1347.2455     819.7047
     196    7171.0203     884.8145     550.8399     441.3795    2791.3701     562.0869    1204.4613     736.0681
     197    7348.1785     680.8669     667.1960     388.4383    3108.1523     425.5629    1275.0288     802.9333
     198    8034.4194     692.1514     711.1282     759.2227    3003.1314     701.8063    1407.8357     759.1437
     199    8736.0885    1226.4228     740.4287     486.8089    3354.9767     715.6970    1388.3086     823.4458
     200    7436.4307     513.8007     706.3320     522.9846    3074.3213     532.0049    1169.0954     917.8918
     201    7613.7576     656.6461     472.9853     422.6228    3424.7930     559.5881    1400.5024     676.6199
     202    6118.8040     335.2575     244.1899     427.2495    2212.6090     558.4564    1425.4736     915.5680
     203    7728.9047     510.2382     748.6783     601.5446    3033.3097     530.7865    1395.0290     909.3185
     204    6526.6503     679.5953     543.6844     450.6674    2444.7197     555.3621    1002.3368     850.2846
     205    6499.8403     415.1648     329.7417     305.4195    3101.6676     426.0659    1074.3151     847.4656
     206    6276.7063     466.0972     365.6432     338.0177    2099.7289     652.0641    1608.0860     747.0692
     207    7015.1638     331.6870     325.9145     399.4143    3250.9426     428.6542    1458.5622     819.9890
     208    7613.1699     537.1488     326.3848     344.2693    3394.2779     652.7882    1391.0047     967.2963
     209    5853.3266     403.8330     427.3589     355.0111    2694.3316     462.2461     896.6926     613.8533
     210    4303.3901     351.1496     237.6932     255.9584    1740.8588     335.0338     894.6007     488.0956
     211    7504.3021     703.6513     565.8606     571.4647    2921.9537     547.4670    1346.1760     847.7289
     212    6191.9474     402.1352     256.9967     253.3872    2855.6735     513.9894    1337.7501     572.0153
     213    6919.6781     926.8513     358.2585     324.3564    2761.8706     465.3957    1421.2856     661.6601
     214    5838.0921     411.7533     326.0864     379.8458    2635.9250     506.3725    1007.7960     570.3130
