#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     130    6255.8722     478.4710     344.6383    1165.8561     382.7085     401.9957    2837.7841     644.4185
     131    6992.4410     382.5643     406.5954    1333.6549     427.9531     386.0055    3199.3705     856.2974
     132    6686.0701     714.9938     592.6547    1129.0467     514.8830     404.7506    2612.5556     717.1857
     133    7301.3270     584.3662     509.0742    1934.0512     498.0109     531.9516    2510.3108     733.5620
     134    7075.3044     451.1326     464.3871    1924.2468     782.6141     604.0920    1965.0795     883.7522
     135    6614.2165     709.6042     583.0416    1127.5844     361.0504     360.1220    2748.8353     723.9787
     136    6775.6547     458.5925     322.6322    1051.5642     492.3417     383.7356    3348.5716     718.2167
     137    8467.8403     754.9961     461.6480    1634.1920     438.6435     408.2072    3935.7158     834.4376
     138    7340.5468     781.7577     518.9021    1340.4645     465.7127     380.9953    3199.1198     653.5949
     139    6658.9443     562.1978     432.6745    1661.7841     512.1137     423.4394    2219.7405     846.9944
     140    7339.7925     755.3571     673.3819    1394.5320     427.7021     406.9475    3039.9130     641.9590
     141    7356.9389     524.8630     526.3620    1427.3880     532.2206     377.0068    3116.4184     852.6801
     142    8237.1936     552.1505     368.3503    1751.8409     526.3749     481.8845    3747.8987     808.6939
     143    8633.9023     514.7410     633.0005    1983.2498     694.5174     411.7245    3396.7977     999.8714
     144    5331.8988     523.0741     333.9030    1446.3042     330.1816     325.5445    1799.3622     573.5292
     145    5975.3379     490.8670     294.4706    1015.8386     500.2123     422.6739    2744.4688     506.8066
     146    7433.7877     575.2974     509.8243    1534.6571     567.5934     445.9359    2977.3258     823.1539
     147    6761.2864     493.3220     573.0700    1230.7014     478.1778     308.6712    2938.5301     738.8138
     148    6029.3047     346.3247     288.9189    1314.2817     311.1943     328.9862    2662.9175     776.6814
     149    8046.6959     554.8820     568.5426    1555.7990     565.6887     473.9267    3409.2000     918.6569
     150    4995.6056     342.5664     338.8348    1076.1932     405.0763     317.5754    1811.8564     703.5032
     151    8102.8709     712.6367     584.6319    1957.3920     322.4805     304.9558    3106.8664    1113.9077
     152    6476.6703     682.9325     488.7114    1463.5387     481.3182     329.1074    2319.4581     711.6040
     153    7235.0584     557.0359     398.7556    1285.2383     453.8083     422.0160    3362.7661     755.4381
     154    7591.5973     496.7596     362.2111    1131.2058     599.2985     494.0892    3695.1413     812.8919
     155    7255.6676     439.3882     403.9921    1405.9473     499.5632     396.8874    3389.5262     720.3632
     156    7119.3791     432.5674     397.0876    1407.3545     339.1955     330.6205    3316.6384     895.9152
     157    5384.6224     584.3111     432.8306     918.2502     269.4964     257.5042    2415.3183     506.9116
     158    8330.5266     484.7663     545.1848    1556.5802     562.1833     427.7406    3662.0737    1091.9977
     159    6871.9732     509.5676     441.0730    1517.9698     420.9765     530.6710    2686.6789     765.0364
     160    8552.4928     524.9678     732.6913    1534.3409     523.9283     504.2388    3943.0464     789.2794
     161    7087.2976     507.3880     381.8680    1346.4827     384.7665     444.9610    3296.7818     725.0496
     162    7387.3150     484.5738     498.0344    1588.6778     550.5365     455.7512    3141.2866     668.4547
     163    7001.1029     391.0547     321.0396    1305.8366     505.3307     454.6417    3330.6007     692.5990
     164    8659.5269     513.8872     367.9804    1896.1292     605.0564     386.8586    4099.6012     790.0138
     165    5929.3514     317.8817     328.2679    1153.5051     461.1592     357.5906    2826.0480     484.8988
     166    6559.4755     503.6015     447.5474    1013.9989     427.6131     414.7055    3104.8691     647.1401
     167    6911.2490     417.8308     520.9676    1251.5529     383.8341     326.6885    3322.7001     687.6751
     168    6900.4802     437.9779     291.7085    1155.6272     496.5825     386.1016    3331.1217     801.3608
     169    6277.2588     536.8280     452.3573    1317.0063     439.1149     333.0587    2646.5346     552.3590
     170    8545.1706     516.6899     602.7045    1734.6785     596.2987     407.8835    3621.8718    1065.0437
     171    5927.6742     588.2285     453.3578    1069.1789     328.0411     263.9750    2625.7815     599.1114
     172    6958.2098     646.8421     468.3392    1445.8750     356.1094     314.5243    2739.1745     987.3453
     173    6174.5789     475.9380     361.7926    1572.0621     524.7390     419.4899    1998.2952     822.2621
     174    7804.6057     610.5258     723.2207    1631.7105     460.1286     397.7436    3353.5504     627.7261
     175    7559.8089     641.9710     384.8779    1662.4943     419.9990     404.4905    3052.8352     993.1410
     176    6493.1189     498.3179     419.8997    1130.9750     404.8452     370.1261    2790.4085     878.5465
     177    7410.7255     418.4672     436.6460    1531.2735     450.8585     423.6060    3143.1935    1006.6808
     178    9338.2644     883.4543     654.5030    2210.4346     610.7282     505.4490    3797.5732     676.1220
     179    5501.3157     371.2954     390.2860    1138.3452     391.4722     289.7972    2433.0198     487.1000
     180    5819.6183     315.7239     258.6089    1233.8343     473.2345     361.7944    2634.6550     541.7673
     181    7513.0340     501.5469     375.9118    1844.5188     509.1459     338.1211    3225.1506     718.6389
     182    6895.3237     328.5057     437.6831    1321.9040     455.0076     307.0941    3344.9218     700.2074
     183    6131.1192     791.8777     563.2592    1034.2641     272.7390     265.0039    2495.5037     708.4717
     184    5511.6552     530.9925     379.6529    1141.2983     322.4245     340.7676    2195.4102     601.1093
     185    7138.8270     437.6645     432.3469    1325.9272     486.0213     441.8876    3054.2641     960.7155
     186    5353.2965     380.9841     342.0133    1275.0900     491.9390     371.6009    1786.2656     705.4037
     187    6555.4722     559.3931     454.9337    1151.9983     462.1316     339.2276    3093.3430     494.4448
     188    6298.8576     777.7915     528.6141    1119.3007     307.9011     352.7470    2522.7831     689.7203
     189    6557.9045     413.9903     439.3199    1404.2189     478.1860     451.6670    2783.8669     586.6555
     190    7356.6737     616.6372     551.7491    1668.1190     580.1745     591.9617    2632.5297     715.5025
